,hidden_layer,Accuracy,Std
0,"(20, 20, 20)",0.8545454545454546,0.26556245212371693
1,"(20, 20, 30)",0.9272727272727272,0.16531129329679828
2,"(20, 20, 40)",0.9030303030303031,0.22284577346485135
3,"(20, 20, 50)",0.8666666666666668,0.26053557891157186
4,"(20, 20, 60)",0.8727272727272727,0.23752627808806578
5,"(20, 20, 70)",0.8787878787878789,0.32069712861388977
6,"(20, 20, 80)",0.9090909090909091,0.17312553766164485
7,"(20, 20, 90)",0.9030303030303031,0.19165319152535634
8,"(20, 25, 20)",0.8787878787878789,0.283232035043586
9,"(20, 25, 30)",0.9090909090909093,0.2559843888720349
10,"(20, 25, 40)",0.8787878787878788,0.27746722769114174
11,"(20, 25, 50)",0.9333333333333335,0.20498829727621531
12,"(20, 25, 60)",0.8969696969696969,0.23690691255384325
13,"(20, 25, 70)",0.9090909090909091,0.20712736352284927
14,"(20, 25, 80)",0.9212121212121211,0.20354976513632322
15,"(20, 25, 90)",0.8848484848484848,0.2731982465353853
16,"(20, 30, 20)",0.890909090909091,0.27427172118750937
17,"(20, 30, 30)",0.9212121212121214,0.16882894881435298
18,"(20, 30, 40)",0.890909090909091,0.24302954734258697
19,"(20, 30, 50)",0.8666666666666667,0.2842676218074806
20,"(20, 30, 60)",0.896969696969697,0.27480688603041536
21,"(20, 30, 70)",0.9030303030303031,0.21547137981371126
22,"(20, 30, 80)",0.8848484848484849,0.21341596195950316
23,"(20, 30, 90)",0.8848484848484849,0.22805924511790035
24,"(20, 35, 20)",0.896969696969697,0.2299838298304276
25,"(20, 35, 30)",0.8848484848484849,0.267217062849074
26,"(20, 35, 40)",0.8727272727272729,0.25712973861329
27,"(20, 35, 50)",0.890909090909091,0.2221854882402832
28,"(20, 35, 60)",0.8787878787878789,0.2113405548383357
29,"(20, 35, 70)",0.8666666666666667,0.2542566904654913
30,"(20, 35, 80)",0.8787878787878789,0.23998775603907072
31,"(20, 35, 90)",0.8727272727272727,0.2924203171349047
32,"(20, 40, 20)",0.9151515151515153,0.15139389087026422
33,"(20, 40, 30)",0.9090909090909091,0.22218548824028317
34,"(20, 40, 40)",0.896969696969697,0.2501789992793975
35,"(20, 40, 50)",0.896969696969697,0.20783549332705756
36,"(20, 40, 60)",0.8666666666666667,0.24120907566221095
37,"(20, 40, 70)",0.8848484848484849,0.22805924511790038
38,"(20, 40, 80)",0.8848484848484849,0.29591649977536244
39,"(20, 40, 90)",0.8848484848484849,0.27905125898718397
40,"(20, 45, 20)",0.9090909090909091,0.19917183909278766
41,"(20, 45, 30)",0.896969696969697,0.19165319152535634
42,"(20, 45, 40)",0.896969696969697,0.23690691255384316
43,"(20, 45, 50)",0.8787878787878789,0.305204322715495
44,"(20, 45, 60)",0.890909090909091,0.21478842602023457
45,"(20, 45, 70)",0.8848484848484849,0.23503902338988264
46,"(20, 45, 80)",0.8484848484848485,0.28478400301747225
47,"(20, 45, 90)",0.9030303030303031,0.2806263491585509
48,"(20, 50, 20)",0.890909090909091,0.23628592351052036
49,"(20, 50, 30)",0.896969696969697,0.2688614910644707
50,"(20, 50, 40)",0.9030303030303031,0.21547137981371126
51,"(20, 50, 50)",0.9090909090909091,0.20712736352284922
52,"(20, 50, 60)",0.890909090909091,0.18222177428330802
53,"(20, 50, 70)",0.8848484848484848,0.28478400301747225
54,"(20, 50, 80)",0.9090909090909091,0.2221854882402832
55,"(20, 50, 90)",0.9090909090909091,0.19917183909278768
56,"(20, 55, 20)",0.9212121212121214,0.11109274412014154
57,"(20, 55, 30)",0.8848484848484849,0.27905125898718397
58,"(20, 55, 40)",0.9030303030303031,0.22284577346485135
59,"(20, 55, 50)",0.9151515151515152,0.24841092765962663
60,"(20, 55, 60)",0.8848484848484849,0.28478400301747225
61,"(20, 55, 70)",0.8787878787878789,0.2113405548383357
62,"(20, 55, 80)",0.9030303030303031,0.22284577346485135
63,"(20, 55, 90)",0.9090909090909091,0.2221854882402832
64,"(20, 60, 20)",0.9030303030303031,0.21547137981371128
65,"(20, 60, 30)",0.890909090909091,0.20712736352284927
66,"(20, 60, 40)",0.896969696969697,0.21547137981371128
67,"(20, 60, 50)",0.9030303030303032,0.2299838298304276
68,"(20, 60, 60)",0.8787878787878789,0.2466301812045552
69,"(20, 60, 70)",0.896969696969697,0.183026289339897
70,"(20, 60, 80)",0.890909090909091,0.19917183909278768
71,"(20, 60, 90)",0.890909090909091,0.20712736352284927
72,"(20, 65, 20)",0.896969696969697,0.2806263491585509
73,"(20, 65, 30)",0.9090909090909093,0.22934409610211517
74,"(20, 65, 40)",0.896969696969697,0.24363334839080947
75,"(20, 65, 50)",0.9151515151515152,0.1976909870339405
76,"(20, 65, 60)",0.8787878787878789,0.2399877560390707
77,"(20, 65, 70)",0.9151515151515152,0.1976909870339405
78,"(20, 65, 80)",0.9030303030303031,0.21547137981371126
79,"(20, 65, 90)",0.896969696969697,0.20783549332705753
80,"(20, 70, 20)",0.890909090909091,0.18222177428330796
81,"(20, 70, 30)",0.9090909090909091,0.17312553766164485
82,"(20, 70, 40)",0.8727272727272729,0.20854121859497277
83,"(20, 70, 50)",0.9030303030303031,0.21547137981371126
84,"(20, 70, 60)",0.9090909090909091,0.17312553766164485
85,"(20, 70, 70)",0.8787878787878789,0.28888182515910266
86,"(20, 70, 80)",0.890909090909091,0.3076018797684732
87,"(20, 70, 90)",0.9151515151515152,0.17141982574219336
88,"(20, 75, 20)",0.9151515151515152,0.24181742234254555
89,"(20, 75, 30)",0.896969696969697,0.2974022823366132
90,"(20, 75, 40)",0.8848484848484849,0.2731982465353853
91,"(20, 75, 50)",0.8484848484848485,0.29591649977536255
92,"(20, 75, 60)",0.9151515151515152,0.205703790890632
93,"(20, 75, 70)",0.8727272727272727,0.29789589642289716
94,"(20, 75, 80)",0.896969696969697,0.23690691255384316
95,"(20, 75, 90)",0.8848484848484849,0.21341596195950316
96,"(20, 80, 20)",0.9272727272727274,0.20064176190602243
97,"(20, 80, 30)",0.890909090909091,0.2559843888720349
98,"(20, 80, 40)",0.896969696969697,0.27480688603041536
99,"(20, 80, 50)",0.890909090909091,0.2559843888720349
100,"(20, 80, 60)",0.890909090909091,0.1908850393699833
101,"(20, 80, 70)",0.8848484848484849,0.24841092765962666
102,"(20, 80, 80)",0.8848484848484849,0.22805924511790032
103,"(20, 80, 90)",0.8787878787878788,0.2399877560390707
104,"(20, 85, 20)",0.9272727272727274,0.2085412185949728
105,"(20, 85, 30)",0.896969696969697,0.1644201208030368
106,"(20, 85, 40)",0.896969696969697,0.19165319152535634
107,"(20, 85, 50)",0.9030303030303031,0.1999081515450987
108,"(20, 85, 60)",0.890909090909091,0.1908850393699833
109,"(20, 85, 70)",0.8848484848484849,0.2134159619595031
110,"(20, 85, 80)",0.890909090909091,0.21478842602023454
111,"(20, 85, 90)",0.896969696969697,0.21547137981371126
112,"(20, 90, 20)",0.8666666666666668,0.30084057323614194
113,"(20, 90, 30)",0.896969696969697,0.23690691255384322
114,"(20, 90, 40)",0.8727272727272727,0.2811494182968049
115,"(20, 90, 50)",0.9151515151515152,0.267217062849074
116,"(20, 90, 60)",0.9090909090909091,0.16352409167553988
117,"(20, 90, 70)",0.896969696969697,0.26278161683247026
118,"(20, 90, 80)",0.8727272727272727,0.30855568633594804
119,"(20, 90, 90)",0.9030303030303031,0.21547137981371126
120,"(25, 20, 20)",0.8909090909090908,0.2622219109428356
121,"(25, 20, 30)",0.8787878787878788,0.22611828007488038
122,"(25, 20, 40)",0.8727272727272727,0.3432679335395466
123,"(25, 20, 50)",0.8848484848484849,0.27905125898718397
124,"(25, 20, 60)",0.8666666666666667,0.33151016560429925
125,"(25, 20, 70)",0.9030303030303031,0.2565577028911118
126,"(25, 20, 80)",0.8606060606060606,0.33371878540451405
127,"(25, 20, 90)",0.8787878787878789,0.29986222731764806
128,"(25, 25, 20)",0.8484848484848485,0.3367865209563589
129,"(25, 25, 30)",0.8606060606060606,0.33852703136409557
130,"(25, 25, 40)",0.9030303030303031,0.1999081515450987
131,"(25, 25, 50)",0.8727272727272727,0.2811494182968049
132,"(25, 25, 60)",0.8727272727272727,0.2978958964228972
133,"(25, 25, 70)",0.8545454545454546,0.34962921459044743
134,"(25, 25, 80)",0.8666666666666667,0.3595732599803958
135,"(25, 25, 90)",0.9030303030303031,0.2369069125538432
136,"(25, 30, 20)",0.8787878787878788,0.25940526738221453
137,"(25, 30, 30)",0.8969696969696969,0.2688614910644707
138,"(25, 30, 40)",0.8606060606060606,0.3571132087916663
139,"(25, 30, 50)",0.9090909090909091,0.22218548824028317
140,"(25, 30, 60)",0.8545454545454546,0.37202446674479533
141,"(25, 30, 70)",0.8666666666666667,0.2898972301357915
142,"(25, 30, 80)",0.896969696969697,0.34283965148438666
143,"(25, 30, 90)",0.9333333333333335,0.20498829727621531
144,"(25, 35, 20)",0.8787878787878788,0.28888182515910266
145,"(25, 35, 30)",0.9030303030303031,0.2299838298304276
146,"(25, 35, 40)",0.9030303030303031,0.26278161683247026
147,"(25, 35, 50)",0.890909090909091,0.28581396660731145
148,"(25, 35, 60)",0.8848484848484848,0.267217062849074
