,hidden_layer,Accuracy,Std
0,"(20, 20)",0.9393939393939394,0.23062178897503574
1,"(20, 25)",0.9151515151515152,0.23503902338988264
2,"(20, 30)",0.9272727272727274,0.23752627808806576
3,"(20, 35)",0.9090909090909091,0.23628592351052033
4,"(20, 40)",0.9090909090909091,0.22934409610211515
5,"(20, 45)",0.9393939393939394,0.15522725424079636
6,"(20, 50)",0.9333333333333332,0.1797866299901979
7,"(20, 55)",0.9454545454545454,0.19544867268602545
8,"(20, 60)",0.9090909090909093,0.22218548824028314
9,"(20, 65)",0.9393939393939394,0.20854121859497277
10,"(20, 70)",0.9212121212121211,0.16882894881435295
11,"(20, 75)",0.9151515151515152,0.2610988997398548
12,"(20, 80)",0.9333333333333335,0.16080605044147395
13,"(20, 85)",0.9090909090909093,0.17312553766164487
14,"(20, 90)",0.9090909090909093,0.20712736352284924
15,"(25, 20)",0.9333333333333335,0.19694638556693242
16,"(25, 25)",0.9212121212121214,0.20354976513632322
17,"(25, 30)",0.9333333333333335,0.19694638556693236
18,"(25, 35)",0.9454545454545454,0.19544867268602545
19,"(25, 40)",0.9090909090909091,0.22218548824028317
20,"(25, 45)",0.9090909090909091,0.22934409610211517
21,"(25, 50)",0.9090909090909091,0.20712736352284924
22,"(25, 55)",0.9151515151515152,0.19769098703394053
23,"(25, 60)",0.9151515151515152,0.22805924511790038
24,"(25, 65)",0.9272727272727274,0.23752627808806576
25,"(25, 70)",0.9090909090909091,0.22934409610211517
26,"(25, 75)",0.9151515151515152,0.22085899585804367
27,"(25, 80)",0.9090909090909091,0.26831446813549886
28,"(25, 85)",0.9212121212121211,0.27746722769114174
29,"(25, 90)",0.9030303030303031,0.2369069125538432
30,"(30, 20)",0.9454545454545454,0.13713586059375463
31,"(30, 25)",0.9333333333333335,0.19694638556693242
32,"(30, 30)",0.9393939393939394,0.16531129329679828
33,"(30, 35)",0.9393939393939394,0.1838272834921588
34,"(30, 40)",0.9393939393939394,0.20854121859497277
35,"(30, 45)",0.9333333333333335,0.1797866299901979
36,"(30, 50)",0.9333333333333332,0.18856180831641267
37,"(30, 55)",0.9393939393939394,0.15522725424079634
38,"(30, 60)",0.9272727272727274,0.19241827716833387
39,"(30, 65)",0.909090909090909,0.19917183909278766
40,"(30, 70)",0.9333333333333335,0.19694638556693236
41,"(30, 75)",0.9030303030303031,0.1999081515450987
42,"(30, 80)",0.9333333333333335,0.1271283452327456
43,"(30, 85)",0.9575757575757575,0.13054944986992734
44,"(30, 90)",0.9090909090909091,0.19088503936998327
45,"(35, 20)",0.9030303030303031,0.2299838298304276
46,"(35, 25)",0.9212121212121214,0.2399877560390707
47,"(35, 30)",0.9393939393939394,0.15522725424079634
48,"(35, 35)",0.9212121212121214,0.2399877560390707
49,"(35, 40)",0.9272727272727274,0.20064176190602243
50,"(35, 45)",0.9212121212121214,0.16882894881435298
51,"(35, 50)",0.9151515151515153,0.205703790890632
52,"(35, 55)",0.9212121212121214,0.16882894881435295
53,"(35, 60)",0.9272727272727274,0.17481460729522375
54,"(35, 65)",0.9030303030303031,0.20783549332705756
55,"(35, 70)",0.9212121212121214,0.22611828007488038
56,"(35, 75)",0.9030303030303031,0.24363334839080944
57,"(35, 80)",0.9272727272727274,0.19241827716833387
58,"(35, 85)",0.9272727272727274,0.23062178897503574
59,"(35, 90)",0.9212121212121214,0.22611828007488038
60,"(40, 20)",0.9393939393939394,0.11999387801953532
61,"(40, 25)",0.9636363636363636,0.08740730364761184
62,"(40, 30)",0.9575757575757577,0.13054944986992734
63,"(40, 35)",0.9151515151515152,0.18933938608258555
64,"(40, 40)",0.9515151515151515,0.12827885144555587
65,"(40, 45)",0.9333333333333335,0.17056057308448835
66,"(40, 50)",0.9393939393939394,0.15522725424079628
67,"(40, 55)",0.9454545454545454,0.1484539238050411
68,"(40, 60)",0.9515151515151515,0.12827885144555587
69,"(40, 65)",0.9454545454545454,0.12479551686044846
70,"(40, 70)",0.9515151515151515,0.15139389087026422
71,"(40, 75)",0.9212121212121211,0.20354976513632322
72,"(40, 80)",0.9454545454545454,0.15896820664974548
73,"(40, 85)",0.9454545454545454,0.15896820664974542
74,"(40, 90)",0.9575757575757575,0.16352409167553988
75,"(45, 20)",0.9090909090909091,0.25598438887203484
76,"(45, 25)",0.9333333333333332,0.18856180831641267
77,"(45, 30)",0.9454545454545454,0.1484539238050411
78,"(45, 35)",0.9333333333333335,0.17978662999019784
79,"(45, 40)",0.9393939393939394,0.11999387801953532
80,"(45, 45)",0.9454545454545454,0.12479551686044846
81,"(45, 50)",0.9454545454545454,0.13713586059375463
82,"(45, 55)",0.9696969696969696,0.11876313904403284
83,"(45, 60)",0.9636363636363636,0.10427060929748636
84,"(45, 65)",0.9515151515151515,0.14031317457927542
85,"(45, 70)",0.9515151515151515,0.14031317457927542
86,"(45, 75)",0.9575757575757577,0.10285189544531598
87,"(45, 80)",0.9575757575757575,0.13054944986992736
88,"(45, 85)",0.9454545454545454,0.11109274412014156
89,"(45, 90)",0.9696969696969696,0.10427060929748636
90,"(50, 20)",0.9575757575757577,0.13054944986992734
91,"(50, 25)",0.9272727272727274,0.15522725424079628
92,"(50, 30)",0.9272727272727274,0.1444409125795513
93,"(50, 35)",0.9212121212121214,0.22611828007488038
94,"(50, 40)",0.9454545454545454,0.12479551686044846
95,"(50, 45)",0.9333333333333335,0.1271283452327456
96,"(50, 50)",0.9454545454545454,0.14845392380504108
97,"(50, 55)",0.9272727272727274,0.1327812260618584
98,"(50, 60)",0.9454545454545454,0.15896820664974542
99,"(50, 65)",0.9272727272727274,0.1838272834921588
100,"(50, 70)",0.9151515151515152,0.18060199303941013
101,"(50, 75)",0.9333333333333335,0.15042028661807094
102,"(50, 80)",0.9212121212121211,0.16882894881435298
103,"(50, 85)",0.9454545454545454,0.12479551686044846
104,"(50, 90)",0.9272727272727274,0.17481460729522375
105,"(55, 20)",0.9212121212121211,0.22611828007488038
106,"(55, 25)",0.9393939393939394,0.15522725424079628
107,"(55, 30)",0.9393939393939394,0.20064176190602243
108,"(55, 35)",0.9454545454545454,0.15896820664974548
109,"(55, 40)",0.9515151515151515,0.18060199303941019
110,"(55, 45)",0.9575757575757575,0.16352409167553988
111,"(55, 50)",0.9393939393939394,0.16531129329679828
112,"(55, 55)",0.9515151515151515,0.18060199303941019
113,"(55, 60)",0.9575757575757575,0.1908850393699833
114,"(55, 65)",0.9393939393939394,0.1838272834921588
115,"(55, 70)",0.9696969696969698,0.13167006656000257
116,"(55, 75)",0.9575757575757575,0.13054944986992734
117,"(55, 80)",0.9515151515151516,0.1617171401712283
118,"(55, 85)",0.9454545454545454,0.15896820664974548
119,"(55, 90)",0.9757575757575758,0.08570991287109664
120,"(60, 20)",0.9636363636363637,0.10427060929748637
121,"(60, 25)",0.9151515151515153,0.18933938608258558
122,"(60, 30)",0.9333333333333335,0.1797866299901979
123,"(60, 35)",0.9393939393939394,0.17481460729522372
124,"(60, 40)",0.9393939393939394,0.15522725424079634
125,"(60, 45)",0.9454545454545454,0.15896820664974548
126,"(60, 50)",0.9515151515151515,0.12827885144555587
