,hidden_layer,Accuracy,Std
0,"(20, 20, 20)",0.9393939393939394,0.16531129329679828
1,"(20, 20, 30)",0.9393939393939394,0.16531129329679828
2,"(20, 20, 40)",0.9333333333333335,0.16080605044147395
3,"(20, 20, 50)",0.9151515151515152,0.22085899585804367
4,"(20, 20, 60)",0.9151515151515152,0.17141982574219336
5,"(20, 20, 70)",0.9090909090909091,0.21478842602023454
6,"(20, 20, 80)",0.8727272727272729,0.24423565672254408
7,"(20, 20, 90)",0.9030303030303028,0.19990815154509872
8,"(20, 25, 20)",0.9393939393939394,0.1444409125795513
9,"(20, 25, 30)",0.9272727272727274,0.1444409125795513
10,"(20, 25, 40)",0.9393939393939394,0.1838272834921588
11,"(20, 25, 50)",0.9030303030303028,0.2501789992793975
12,"(20, 25, 60)",0.9212121212121214,0.18699695297626076
13,"(20, 25, 70)",0.9454545454545454,0.11109274412014156
14,"(20, 25, 80)",0.9212121212121214,0.2399877560390707
15,"(20, 25, 90)",0.9272727272727274,0.15522725424079628
16,"(20, 30, 20)",0.9212121212121214,0.23315617044450113
17,"(20, 30, 30)",0.9393939393939394,0.1444409125795513
18,"(20, 30, 40)",0.9212121212121214,0.20354976513632322
19,"(20, 30, 50)",0.9696969696969696,0.11876313904403284
20,"(20, 30, 60)",0.8848484848484849,0.22085899585804364
21,"(20, 30, 70)",0.9515151515151515,0.16171714017122832
22,"(20, 30, 80)",0.9212121212121211,0.2035497651363232
23,"(20, 30, 90)",0.9151515151515152,0.22085899585804364
24,"(20, 35, 20)",0.9333333333333335,0.19694638556693236
25,"(20, 35, 30)",0.9090909090909093,0.19917183909278768
26,"(20, 35, 40)",0.9333333333333335,0.13926212476455824
27,"(20, 35, 50)",0.9393939393939394,0.1444409125795513
28,"(20, 35, 60)",0.9454545454545454,0.19544867268602545
29,"(20, 35, 70)",0.9212121212121214,0.2399877560390707
30,"(20, 35, 80)",0.9454545454545454,0.13713586059375463
31,"(20, 35, 90)",0.9696969696969698,0.08740730364761184
32,"(20, 40, 20)",0.9393939393939394,0.15522725424079628
33,"(20, 40, 30)",0.9272727272727272,0.26334013312000526
34,"(20, 40, 40)",0.9333333333333335,0.22741409744598445
35,"(20, 40, 50)",0.9575757575757575,0.15332255322028507
36,"(20, 40, 60)",0.9333333333333335,0.13926212476455824
37,"(20, 40, 70)",0.9212121212121211,0.20354976513632322
38,"(20, 40, 80)",0.9090909090909091,0.26831446813549886
39,"(20, 40, 90)",0.9333333333333335,0.1271283452327456
40,"(20, 45, 20)",0.9454545454545454,0.15896820664974548
41,"(20, 45, 30)",0.890909090909091,0.27427172118750937
42,"(20, 45, 40)",0.9454545454545454,0.18699695297626076
43,"(20, 45, 50)",0.9030303030303031,0.2299838298304276
44,"(20, 45, 60)",0.9636363636363636,0.13167006656000257
45,"(20, 45, 70)",0.9030303030303031,0.27480688603041536
46,"(20, 45, 80)",0.9393939393939394,0.1748146072952237
47,"(20, 45, 90)",0.9515151515151515,0.14031317457927542
48,"(20, 50, 20)",0.9212121212121211,0.25940526738221453
49,"(20, 50, 30)",0.9333333333333332,0.17056057308448833
50,"(20, 50, 40)",0.9090909090909091,0.19917183909278766
51,"(20, 50, 50)",0.9151515151515152,0.22805924511790035
52,"(20, 50, 60)",0.9090909090909091,0.2147884260202346
53,"(20, 50, 70)",0.9575757575757575,0.11751951169494129
54,"(20, 50, 80)",0.9333333333333335,0.17056057308448835
55,"(20, 50, 90)",0.9151515151515152,0.2280592451179004
56,"(20, 55, 20)",0.9212121212121211,0.20354976513632322
57,"(20, 55, 30)",0.9393939393939394,0.15522725424079634
58,"(20, 55, 40)",0.9090909090909091,0.17312553766164485
59,"(20, 55, 50)",0.9393939393939394,0.15522725424079628
60,"(20, 55, 60)",0.9333333333333335,0.1885618083164127
61,"(20, 55, 70)",0.9454545454545454,0.14845392380504105
62,"(20, 55, 80)",0.9454545454545454,0.13713586059375463
63,"(20, 55, 90)",0.9090909090909091,0.22934409610211517
64,"(20, 60, 20)",0.9272727272727272,0.2507655862494206
65,"(20, 60, 30)",0.9454545454545454,0.16882894881435295
66,"(20, 60, 40)",0.9696969696969698,0.08740730364761184
67,"(20, 60, 50)",0.8848484848484848,0.3319530651546461
68,"(20, 60, 60)",0.9212121212121211,0.22611828007488044
69,"(20, 60, 70)",0.890909090909091,0.24302954734258692
70,"(20, 60, 80)",0.9575757575757575,0.10285189544531598
71,"(20, 60, 90)",0.9212121212121211,0.18699695297626076
72,"(20, 65, 20)",0.9454545454545454,0.13713586059375463
73,"(20, 65, 30)",0.9333333333333335,0.16080605044147395
74,"(20, 65, 40)",0.9333333333333335,0.17056057308448835
75,"(20, 65, 50)",0.9090909090909091,0.25598438887203484
