,hidden_layer,Accuracy,Std
0,"(20, 20)",0.9575757575757575,0.11751951169494129
1,"(20, 25)",0.9575757575757575,0.10285189544531598
2,"(20, 30)",0.9575757575757577,0.153322553220285
3,"(20, 35)",0.9636363636363636,0.15427784316797405
4,"(20, 40)",0.9454545454545454,0.12479551686044846
5,"(20, 45)",0.9696969696969696,0.11876313904403284
6,"(20, 50)",0.9515151515151515,0.15139389087026422
7,"(20, 55)",0.9636363636363636,0.11876313904403284
8,"(20, 60)",0.9454545454545454,0.12479551686044846
9,"(20, 65)",0.9636363636363637,0.1316700665600026
10,"(20, 70)",0.9757575757575758,0.08570991287109664
11,"(20, 75)",0.9636363636363636,0.11876313904403284
12,"(20, 80)",0.9636363636363637,0.13167006656000257
13,"(20, 85)",0.9636363636363636,0.11876313904403284
14,"(20, 90)",0.9575757575757575,0.13054944986992734
15,"(25, 20)",0.9454545454545454,0.16882894881435295
16,"(25, 25)",0.9454545454545454,0.12479551686044846
17,"(25, 30)",0.9575757575757575,0.18222177428330796
18,"(25, 35)",0.9575757575757575,0.11751951169494129
19,"(25, 40)",0.9818181818181819,0.11499191491521378
20,"(25, 45)",0.9757575757575758,0.08570991287109665
21,"(25, 50)",0.9575757575757575,0.1533225532202851
22,"(25, 55)",0.9575757575757575,0.10285189544531598
23,"(25, 60)",0.9636363636363636,0.08740730364761184
24,"(25, 65)",0.9575757575757575,0.10285189544531598
25,"(25, 70)",0.9636363636363636,0.11876313904403284
26,"(25, 75)",0.9696969696969696,0.10427060929748636
27,"(25, 80)",0.9515151515151515,0.15139389087026422
28,"(25, 85)",0.9575757575757577,0.15332255322028507
29,"(25, 90)",0.9575757575757575,0.11751951169494129
30,"(30, 20)",0.9818181818181819,0.08221006040151839
31,"(30, 25)",0.9757575757575758,0.08570991287109664
32,"(30, 30)",0.9696969696969698,0.08740730364761183
33,"(30, 35)",0.9696969696969696,0.08740730364761184
34,"(30, 40)",0.9757575757575758,0.08570991287109664
35,"(30, 45)",0.9757575757575758,0.11751951169494129
36,"(30, 50)",0.9454545454545454,0.15896820664974548
37,"(30, 55)",0.9636363636363636,0.15427784316797405
38,"(30, 60)",0.9696969696969696,0.11876313904403284
39,"(30, 65)",0.9636363636363636,0.11876313904403284
40,"(30, 70)",0.9757575757575758,0.06413942572277793
41,"(30, 75)",0.9757575757575758,0.06413942572277793
42,"(30, 80)",0.9757575757575758,0.06413942572277793
43,"(30, 85)",0.9878787878787879,0.05142594772265799
44,"(30, 90)",0.9696969696969698,0.08740730364761184
45,"(35, 20)",0.9515151515151515,0.18933938608258558
46,"(35, 25)",0.9575757575757575,0.08570991287109664
47,"(35, 30)",0.9454545454545454,0.18699695297626076
48,"(35, 35)",0.9818181818181819,0.08221006040151838
49,"(35, 40)",0.9575757575757575,0.13054944986992736
50,"(35, 45)",0.9636363636363636,0.11876313904403284
51,"(35, 50)",0.9757575757575758,0.08570991287109664
52,"(35, 55)",0.9575757575757577,0.10285189544531598
53,"(35, 60)",0.9696969696969696,0.11876313904403284
54,"(35, 65)",0.9636363636363636,0.11876313904403284
55,"(35, 70)",0.9575757575757575,0.13054944986992734
56,"(35, 75)",0.9757575757575758,0.08570991287109664
57,"(35, 80)",0.9515151515151515,0.08221006040151839
58,"(35, 85)",0.9696969696969698,0.11876313904403284
59,"(35, 90)",0.9696969696969698,0.11876313904403284
60,"(40, 20)",0.9333333333333335,0.20498829727621531
61,"(40, 25)",0.9636363636363636,0.11876313904403284
62,"(40, 30)",0.9818181818181819,0.08221006040151838
63,"(40, 35)",0.9515151515151515,0.12827885144555587
64,"(40, 40)",0.9818181818181819,0.08221006040151838
65,"(40, 45)",0.9575757575757575,0.16352409167553988
66,"(40, 50)",0.9696969696969698,0.08740730364761184
67,"(40, 55)",0.9878787878787879,0.0766612766101425
68,"(40, 60)",0.9696969696969698,0.10427060929748636
69,"(40, 65)",0.9515151515151515,0.09995407577254932
70,"(40, 70)",0.9757575757575758,0.11751951169494129
71,"(40, 75)",0.9818181818181819,0.08221006040151839
72,"(40, 80)",0.9575757575757575,0.13054944986992736
73,"(40, 85)",0.9636363636363636,0.11876313904403284
74,"(40, 90)",0.9818181818181819,0.08221006040151838
75,"(45, 20)",0.9575757575757575,0.13054944986992734
76,"(45, 25)",0.9515151515151515,0.12827885144555587
77,"(45, 30)",0.9757575757575758,0.08570991287109664
78,"(45, 35)",0.9393939393939394,0.1327812260618584
79,"(45, 40)",0.9454545454545454,0.11109274412014156
80,"(45, 45)",0.9575757575757577,0.15332255322028507
81,"(45, 50)",0.9757575757575758,0.10285189544531598
82,"(45, 55)",0.9818181818181819,0.05938156952201642
83,"(45, 60)",0.9878787878787879,0.05142594772265799
84,"(45, 65)",0.9757575757575758,0.08570991287109664
85,"(45, 70)",0.9757575757575758,0.08570991287109664
86,"(45, 75)",0.9515151515151515,0.12827885144555587
87,"(45, 80)",0.9818181818181819,0.05938156952201642
88,"(45, 85)",0.9696969696969698,0.0663906130309292
89,"(45, 90)",0.993939393939394,0.03833063830507126
90,"(50, 20)",0.9454545454545454,0.12479551686044846
91,"(50, 25)",0.9575757575757575,0.13054944986992736
92,"(50, 30)",0.9575757575757575,0.11751951169494129
93,"(50, 35)",0.9757575757575758,0.06413942572277793
94,"(50, 40)",0.9515151515151515,0.11499191491521375
95,"(50, 45)",0.9696969696969698,0.08740730364761184
96,"(50, 50)",0.9878787878787879,0.05142594772265799
97,"(50, 55)",0.9575757575757575,0.13054944986992736
98,"(50, 60)",0.9818181818181819,0.05938156952201642
99,"(50, 65)",0.9818181818181819,0.08221006040151838
100,"(50, 70)",0.9636363636363636,0.11876313904403284
101,"(50, 75)",0.9696969696969698,0.08740730364761184
102,"(50, 80)",0.9757575757575758,0.08570991287109664
103,"(50, 85)",0.9757575757575758,0.08570991287109664
104,"(50, 90)",0.9878787878787879,0.05142594772265799
105,"(55, 20)",0.9757575757575758,0.08570991287109664
106,"(55, 25)",0.9757575757575758,0.08570991287109664
107,"(55, 30)",0.9636363636363636,0.08740730364761184
108,"(55, 35)",0.9575757575757575,0.10285189544531598
109,"(55, 40)",0.9757575757575758,0.08570991287109664
110,"(55, 45)",0.9696969696969698,0.11876313904403284
111,"(55, 50)",0.9636363636363636,0.08740730364761184
112,"(55, 55)",0.9696969696969698,0.10427060929748636
113,"(55, 60)",0.9878787878787879,0.0766612766101425
