,hidden_layer,Accuracy,Std
0,"(20, 20, 20)",0.9212121212121214,0.16882894881435298
1,"(20, 20, 30)",0.8606060606060606,0.2868402319078602
2,"(20, 20, 40)",0.9151515151515153,0.17141982574219328
3,"(20, 20, 50)",0.9575757575757575,0.10285189544531598
4,"(20, 20, 60)",0.9151515151515152,0.1617171401712283
5,"(20, 20, 70)",0.9151515151515152,0.2904036012293561
6,"(20, 20, 80)",0.9272727272727274,0.13278122606185844
7,"(20, 20, 90)",0.8969696969696969,0.21547137981371128
8,"(20, 25, 20)",0.9212121212121211,0.17814470856604933
9,"(20, 25, 30)",0.9454545454545454,0.15896820664974548
10,"(20, 25, 40)",0.890909090909091,0.29690784761008215
11,"(20, 25, 50)",0.9393939393939394,0.16531129329679828
12,"(20, 25, 60)",0.9212121212121214,0.1869969529762608
13,"(20, 25, 70)",0.9272727272727274,0.16531129329679828
14,"(20, 25, 80)",0.9393939393939394,0.19241827716833385
15,"(20, 25, 90)",0.9333333333333335,0.20498829727621531
16,"(20, 30, 20)",0.9151515151515152,0.18933938608258555
17,"(20, 30, 30)",0.9090909090909093,0.18222177428330796
18,"(20, 30, 40)",0.9515151515151515,0.14031317457927542
19,"(20, 30, 50)",0.9333333333333335,0.1271283452327456
20,"(20, 30, 60)",0.8787878787878788,0.29442321943008776
21,"(20, 30, 70)",0.9393939393939394,0.11999387801953532
22,"(20, 30, 80)",0.9212121212121214,0.17814470856604933
23,"(20, 30, 90)",0.9151515151515152,0.22805924511790035
24,"(20, 35, 20)",0.9030303030303031,0.183026289339897
25,"(20, 35, 30)",0.9212121212121211,0.26556245212371693
26,"(20, 35, 40)",0.9090909090909093,0.1908850393699833
27,"(20, 35, 50)",0.890909090909091,0.22218548824028317
28,"(20, 35, 60)",0.9212121212121214,0.19544867268602545
29,"(20, 35, 70)",0.9151515151515153,0.18060199303941016
30,"(20, 35, 80)",0.9333333333333335,0.1797866299901979
31,"(20, 35, 90)",0.9090909090909091,0.3076018797684732
32,"(20, 40, 20)",0.9333333333333335,0.22741409744598445
33,"(20, 40, 30)",0.9696969696969698,0.0663906130309292
34,"(20, 40, 40)",0.9030303030303031,0.29740228233661326
35,"(20, 40, 50)",0.9090909090909093,0.23628592351052033
36,"(20, 40, 60)",0.9393939393939394,0.15522725424079628
37,"(20, 40, 70)",0.896969696969697,0.3743865505813455
38,"(20, 40, 80)",0.9393939393939394,0.1838272834921588
39,"(20, 40, 90)",0.9212121212121211,0.19544867268602548
40,"(20, 45, 20)",0.9575757575757577,0.10285189544531598
41,"(20, 45, 30)",0.8969696969696972,0.21547137981371126
42,"(20, 45, 40)",0.9393939393939394,0.19241827716833385
43,"(20, 45, 50)",0.8787878787878789,0.22611828007488038
44,"(20, 45, 60)",0.9030303030303031,0.2299838298304276
45,"(20, 45, 70)",0.8969696969696969,0.25655770289111185
46,"(20, 45, 80)",0.9333333333333335,0.2127264093913242
47,"(20, 45, 90)",0.9333333333333332,0.1797866299901979
48,"(20, 50, 20)",0.9454545454545457,0.12479551686044846
49,"(20, 50, 30)",0.9090909090909091,0.249591033720897
50,"(20, 50, 40)",0.9333333333333335,0.17056057308448835
51,"(20, 50, 50)",0.9636363636363636,0.08740730364761184
52,"(20, 50, 60)",0.9454545454545454,0.19544867268602545
53,"(20, 50, 70)",0.9333333333333335,0.1797866299901979
54,"(20, 50, 80)",0.9030303030303031,0.19990815154509872
55,"(20, 50, 90)",0.9393939393939394,0.15522725424079628
56,"(20, 55, 20)",0.8787878787878788,0.2188541828517308
57,"(20, 55, 30)",0.9212121212121214,0.20354976513632322
58,"(20, 55, 40)",0.9212121212121214,0.17814470856604928
59,"(20, 55, 50)",0.9151515151515153,0.17141982574219336
60,"(20, 55, 60)",0.9212121212121214,0.17814470856604933
61,"(20, 55, 70)",0.9212121212121214,0.21885418285173078
62,"(20, 55, 80)",0.9212121212121211,0.17814470856604933
63,"(20, 55, 90)",0.9151515151515152,0.23503902338988264
64,"(20, 60, 20)",0.9151515151515153,0.17141982574219336
65,"(20, 60, 30)",0.9030303030303031,0.19990815154509872
66,"(20, 60, 40)",0.9333333333333335,0.16080605044147395
67,"(20, 60, 50)",0.890909090909091,0.21478842602023454
68,"(20, 60, 60)",0.9515151515151515,0.18060199303941019
69,"(20, 60, 70)",0.9212121212121211,0.26556245212371693
70,"(20, 60, 80)",0.8666666666666668,0.27265992434429076
71,"(20, 60, 90)",0.9090909090909091,0.20712736352284922
72,"(20, 65, 20)",0.9030303030303028,0.28062634915855095
73,"(20, 65, 30)",0.9151515151515153,0.23503902338988258
74,"(20, 65, 40)",0.9272727272727272,0.2006417619060224
75,"(20, 65, 50)",0.9333333333333335,0.15042028661807094
76,"(20, 65, 60)",0.9393939393939394,0.16531129329679828
77,"(20, 65, 70)",0.9393939393939394,0.11999387801953532
78,"(20, 65, 80)",0.9151515151515152,0.20570379089063204
79,"(20, 65, 90)",0.9454545454545454,0.13713586059375465
80,"(20, 70, 20)",0.9636363636363637,0.08740730364761184
81,"(20, 70, 30)",0.9636363636363637,0.10427060929748637
82,"(20, 70, 40)",0.9454545454545454,0.2655624521237169
83,"(20, 70, 50)",0.9575757575757575,0.10285189544531598
84,"(20, 70, 60)",0.9272727272727274,0.20854121859497277
85,"(20, 70, 70)",0.9454545454545454,0.15896820664974548
86,"(20, 70, 80)",0.9333333333333335,0.1797866299901979
87,"(20, 70, 90)",0.9393939393939394,0.11999387801953532
88,"(20, 75, 20)",0.8727272727272729,0.25712973861329
89,"(20, 75, 30)",0.9272727272727274,0.27534101070546785
90,"(20, 75, 40)",0.9272727272727274,0.19241827716833387
91,"(20, 75, 50)",0.9393939393939394,0.17481460729522372
92,"(20, 75, 60)",0.9090909090909091,0.2147884260202346
93,"(20, 75, 70)",0.9333333333333335,0.16080605044147395
94,"(20, 75, 80)",0.9454545454545454,0.15896820664974548
95,"(20, 75, 90)",0.9090909090909093,0.19917183909278768
96,"(20, 80, 20)",0.8909090909090908,0.24302954734258694
97,"(20, 80, 30)",0.9393939393939394,0.1327812260618584
98,"(20, 80, 40)",0.896969696969697,0.26278161683247026
99,"(20, 80, 50)",0.9393939393939394,0.1748146072952237
100,"(20, 80, 60)",0.9151515151515153,0.17141982574219333
101,"(20, 80, 70)",0.8848484848484849,0.19769098703394047
102,"(20, 80, 80)",0.9212121212121214,0.20354976513632322
103,"(20, 80, 90)",0.9151515151515152,0.22085899585804367
104,"(20, 85, 20)",0.9090909090909091,0.15332255322028507
105,"(20, 85, 30)",0.9212121212121214,0.19544867268602545
106,"(20, 85, 40)",0.9151515151515153,0.18060199303941016
107,"(20, 85, 50)",0.9575757575757577,0.10285189544531599
108,"(20, 85, 60)",0.9333333333333335,0.1797866299901979
109,"(20, 85, 70)",0.9272727272727274,0.18382728349215882
110,"(20, 85, 80)",0.9454545454545454,0.19544867268602545
111,"(20, 85, 90)",0.9393939393939396,0.17481460729522372
112,"(20, 90, 20)",0.9090909090909091,0.24959103372089694
113,"(20, 90, 30)",0.9333333333333335,0.15042028661807094
114,"(20, 90, 40)",0.9333333333333335,0.17056057308448835
115,"(20, 90, 50)",0.9393939393939394,0.15522725424079634
116,"(20, 90, 60)",0.9272727272727274,0.23752627808806576
117,"(20, 90, 70)",0.9333333333333332,0.22741409744598445
118,"(20, 90, 80)",0.8606060606060608,0.26940740328354995
119,"(20, 90, 90)",0.9090909090909091,0.28581396660731145
120,"(25, 20, 20)",0.8969696969696969,0.22998382983042764
121,"(25, 20, 30)",0.9333333333333332,0.2201927530252721
122,"(25, 20, 40)",0.9151515151515153,0.19769098703394047
123,"(25, 20, 50)",0.9333333333333335,0.13926212476455824
124,"(25, 20, 60)",0.9515151515151515,0.12827885144555587
125,"(25, 20, 70)",0.9333333333333335,0.15042028661807094
126,"(25, 20, 80)",0.9272727272727274,0.16531129329679828
127,"(25, 20, 90)",0.896969696969697,0.20783549332705756
128,"(25, 25, 20)",0.9090909090909091,0.20712736352284927
129,"(25, 25, 30)",0.9030303030303032,0.18302628933989698
130,"(25, 25, 40)",0.9090909090909091,0.20712736352284927
131,"(25, 25, 50)",0.9333333333333335,0.15042028661807094
132,"(25, 25, 60)",0.8787878787878788,0.25940526738221453
133,"(25, 25, 70)",0.890909090909091,0.2293440961021152
134,"(25, 25, 80)",0.890909090909091,0.2683144681354989
135,"(25, 25, 90)",0.9030303030303031,0.22284577346485135
136,"(25, 30, 20)",0.9393939393939394,0.20854121859497277
137,"(25, 30, 30)",0.9151515151515152,0.17141982574219336
138,"(25, 30, 40)",0.9212121212121211,0.1954486726860255
139,"(25, 30, 50)",0.896969696969697,0.2974022823366132
140,"(25, 30, 60)",0.896969696969697,0.22284577346485135
141,"(25, 30, 70)",0.9090909090909091,0.249591033720897
142,"(25, 30, 80)",0.9212121212121214,0.2113405548383357
143,"(25, 30, 90)",0.9212121212121211,0.25309833960995276
144,"(25, 35, 20)",0.9151515151515153,0.23503902338988258
145,"(25, 35, 30)",0.9212121212121214,0.20354976513632322
146,"(25, 35, 40)",0.9030303030303031,0.19165319152535634
147,"(25, 35, 50)",0.9333333333333335,0.1797866299901979
148,"(25, 35, 60)",0.9090909090909091,0.3470986924430631
149,"(25, 35, 70)",0.9151515151515152,0.2208589958580436
150,"(25, 35, 80)",0.9212121212121214,0.16882894881435295
151,"(25, 35, 90)",0.9212121212121214,0.22611828007488044
152,"(25, 40, 20)",0.9393939393939394,0.1327812260618584
153,"(25, 40, 30)",0.9454545454545454,0.1484539238050411
154,"(25, 40, 40)",0.8969696969696969,0.18302628933989698
155,"(25, 40, 50)",0.9333333333333335,0.15042028661807094
156,"(25, 40, 60)",0.9090909090909091,0.16352409167553988
157,"(25, 40, 70)",0.8969696969696969,0.29740228233661326
158,"(25, 40, 80)",0.9212121212121211,0.25309833960995276
159,"(25, 40, 90)",0.9090909090909091,0.32297969925998127
160,"(25, 45, 20)",0.9212121212121214,0.22611828007488038
161,"(25, 45, 30)",0.9333333333333335,0.19694638556693242
162,"(25, 45, 40)",0.9030303030303031,0.2688614910644707
