,hidden_layer,Accuracy,Std
0,"(20, 20)",0.9636363636363636,0.13167006656000257
1,"(20, 25)",0.9515151515151515,0.12827885144555587
2,"(20, 30)",0.9030303030303028,0.18302628933989698
3,"(20, 35)",0.9454545454545454,0.19544867268602545
4,"(20, 40)",0.9333333333333335,0.19694638556693236
5,"(20, 45)",0.9454545454545454,0.13713586059375463
6,"(20, 50)",0.9212121212121211,0.23998775603907072
7,"(20, 55)",0.9151515151515152,0.2350390233898826
8,"(20, 60)",0.9151515151515153,0.205703790890632
9,"(20, 65)",0.9393939393939393,0.1838272834921588
10,"(20, 70)",0.9212121212121211,0.23998775603907072
11,"(20, 75)",0.9333333333333335,0.15042028661807094
12,"(20, 80)",0.9333333333333335,0.1885618083164127
13,"(20, 85)",0.9030303030303031,0.2369069125538432
14,"(20, 90)",0.9151515151515153,0.17141982574219336
15,"(25, 20)",0.9454545454545454,0.17814470856604933
16,"(25, 25)",0.9575757575757575,0.13054944986992734
17,"(25, 30)",0.9333333333333335,0.19694638556693242
18,"(25, 35)",0.9575757575757575,0.11751951169494129
19,"(25, 40)",0.9212121212121214,0.14845392380504105
20,"(25, 45)",0.9212121212121214,0.23315617044450113
21,"(25, 50)",0.9333333333333335,0.23441308613107534
22,"(25, 55)",0.9333333333333335,0.15042028661807097
23,"(25, 60)",0.9272727272727274,0.20064176190602243
24,"(25, 65)",0.9090909090909093,0.20712736352284924
25,"(25, 70)",0.9151515151515152,0.2208589958580436
26,"(25, 75)",0.9272727272727274,0.17481460729522375
27,"(25, 80)",0.9090909090909091,0.26831446813549886
28,"(25, 85)",0.9151515151515152,0.24841092765962666
29,"(25, 90)",0.9212121212121214,0.19544867268602548
30,"(30, 20)",0.9393939393939394,0.15522725424079628
31,"(30, 25)",0.9272727272727274,0.23752627808806576
32,"(30, 30)",0.890909090909091,0.2622219109428356
33,"(30, 35)",0.9333333333333335,0.17056057308448835
34,"(30, 40)",0.9151515151515153,0.22805924511790032
35,"(30, 45)",0.9393939393939394,0.20854121859497277
36,"(30, 50)",0.9515151515151515,0.17141982574219336
37,"(30, 55)",0.9272727272727274,0.23062178897503574
38,"(30, 60)",0.9212121212121211,0.14845392380504113
39,"(30, 65)",0.9575757575757575,0.11751951169494129
40,"(30, 70)",0.9333333333333332,0.15042028661807097
41,"(30, 75)",0.9212121212121214,0.2188541828517308
42,"(30, 80)",0.9393939393939394,0.18382728349215882
43,"(30, 85)",0.9454545454545454,0.13713586059375465
44,"(30, 90)",0.896969696969697,0.2688614910644707
45,"(35, 20)",0.9454545454545454,0.13713586059375465
46,"(35, 25)",0.9333333333333335,0.15042028661807094
47,"(35, 30)",0.9272727272727274,0.1444409125795513
48,"(35, 35)",0.9151515151515152,0.1893393860825856
49,"(35, 40)",0.9454545454545454,0.15896820664974548
50,"(35, 45)",0.9272727272727274,0.22350410805558518
51,"(35, 50)",0.9272727272727274,0.15522725424079628
52,"(35, 55)",0.9272727272727274,0.19241827716833387
53,"(35, 60)",0.9454545454545454,0.15896820664974548
54,"(35, 65)",0.9212121212121214,0.23315617044450115
55,"(35, 70)",0.8848484848484849,0.3319530651546462
56,"(35, 75)",0.9393939393939394,0.1838272834921588
57,"(35, 80)",0.9212121212121211,0.18699695297626076
58,"(35, 85)",0.9333333333333335,0.15042028661807094
59,"(35, 90)",0.8848484848484849,0.34155158311770595
60,"(40, 20)",0.9515151515151515,0.12827885144555587
61,"(40, 25)",0.9636363636363637,0.08740730364761184
62,"(40, 30)",0.9696969696969698,0.10427060929748636
63,"(40, 35)",0.9333333333333335,0.1797866299901979
64,"(40, 40)",0.9696969696969698,0.11876313904403284
65,"(40, 45)",0.9515151515151515,0.12827885144555587
66,"(40, 50)",0.896969696969697,0.2299838298304276
67,"(40, 55)",0.9151515151515152,0.2731982465353853
68,"(40, 60)",0.9272727272727272,0.20854121859497277
69,"(40, 65)",0.9151515151515152,0.205703790890632
70,"(40, 70)",0.9151515151515152,0.22805924511790038
71,"(40, 75)",0.9212121212121214,0.2113405548383357
72,"(40, 80)",0.890909090909091,0.2622219109428356
73,"(40, 85)",0.9151515151515153,0.2418174223425455
74,"(40, 90)",0.9515151515151515,0.1617171401712283
75,"(45, 20)",0.9454545454545454,0.11109274412014156
76,"(45, 25)",0.9454545454545454,0.14845392380504105
77,"(45, 30)",0.9636363636363636,0.10427060929748636
78,"(45, 35)",0.9272727272727274,0.1838272834921588
79,"(45, 40)",0.9272727272727272,0.19241827716833385
80,"(45, 45)",0.9636363636363636,0.13167006656000257
81,"(45, 50)",0.9454545454545454,0.17814470856604933
82,"(45, 55)",0.9515151515151515,0.11499191491521377
83,"(45, 60)",0.9393939393939393,0.17481460729522372
84,"(45, 65)",0.9333333333333335,0.15042028661807094
85,"(45, 70)",0.9454545454545454,0.11109274412014154
86,"(45, 75)",0.9575757575757577,0.10285189544531598
87,"(45, 80)",0.9515151515151515,0.1617171401712283
88,"(45, 85)",0.9272727272727274,0.19241827716833387
89,"(45, 90)",0.9212121212121211,0.16882894881435292
90,"(50, 20)",0.9393939393939394,0.10567027741916783
91,"(50, 25)",0.9333333333333335,0.17056057308448833
92,"(50, 30)",0.9333333333333335,0.13926212476455824
93,"(50, 35)",0.9454545454545454,0.1484539238050411
94,"(50, 40)",0.9393939393939394,0.22350410805558515
95,"(50, 45)",0.9515151515151515,0.11499191491521377
96,"(50, 50)",0.9454545454545454,0.16882894881435295
97,"(50, 55)",0.9272727272727274,0.1748146072952237
98,"(50, 60)",0.9272727272727274,0.16531129329679825
99,"(50, 65)",0.9575757575757575,0.10285189544531598
100,"(50, 70)",0.9151515151515152,0.19769098703394047
101,"(50, 75)",0.9151515151515152,0.1714198257421933
102,"(50, 80)",0.9393939393939394,0.1327812260618584
103,"(50, 85)",0.9272727272727272,0.17481460729522372
104,"(50, 90)",0.896969696969697,0.2565577028911118
105,"(55, 20)",0.9515151515151515,0.09995407577254933
106,"(55, 25)",0.9575757575757575,0.11751951169494129
107,"(55, 30)",0.9696969696969696,0.08740730364761184
108,"(55, 35)",0.9454545454545454,0.12479551686044846
109,"(55, 40)",0.9333333333333335,0.1271283452327456
110,"(55, 45)",0.9454545454545454,0.12479551686044846
111,"(55, 50)",0.9393939393939394,0.1327812260618584
112,"(55, 55)",0.9272727272727274,0.14444091257955133
113,"(55, 60)",0.9393939393939394,0.15522725424079634
114,"(55, 65)",0.9151515151515152,0.21341596195950316
115,"(55, 70)",0.9636363636363637,0.11876313904403286
116,"(55, 75)",0.9333333333333335,0.1797866299901979
117,"(55, 80)",0.9212121212121214,0.19544867268602548
118,"(55, 85)",0.9030303030303031,0.20783549332705756
119,"(55, 90)",0.9151515151515152,0.22805924511790035
120,"(60, 20)",0.9454545454545454,0.17814470856604933
121,"(60, 25)",0.9272727272727274,0.14444091257955136
122,"(60, 30)",0.9515151515151515,0.11499191491521377
123,"(60, 35)",0.9575757575757575,0.13054944986992736
124,"(60, 40)",0.9454545454545454,0.12479551686044846
125,"(60, 45)",0.9575757575757575,0.13054944986992736
126,"(60, 50)",0.9272727272727274,0.15522725424079628
127,"(60, 55)",0.9515151515151515,0.12827885144555587
128,"(60, 60)",0.9151515151515152,0.205703790890632
129,"(60, 65)",0.9575757575757575,0.13054944986992736
130,"(60, 70)",0.9454545454545454,0.11109274412014156
131,"(60, 75)",0.9030303030303031,0.2299838298304276
132,"(60, 80)",0.9090909090909091,0.16352409167553988
133,"(60, 85)",0.9636363636363636,0.08740730364761184
134,"(60, 90)",0.8848484848484849,0.24181742234254552
135,"(65, 20)",0.9454545454545454,0.1484539238050411
136,"(65, 25)",0.9515151515151515,0.1617171401712283
137,"(65, 30)",0.9393939393939394,0.16531129329679828
138,"(65, 35)",0.9333333333333335,0.1885618083164127
139,"(65, 40)",0.9393939393939394,0.15522725424079634
140,"(65, 45)",0.9393939393939394,0.15522725424079628
141,"(65, 50)",0.9515151515151515,0.12827885144555587
142,"(65, 55)",0.9393939393939394,0.20854121859497277
143,"(65, 60)",0.9696969696969698,0.08740730364761184
144,"(65, 65)",0.9212121212121211,0.15896820664974548
145,"(65, 70)",0.9272727272727274,0.17481460729522372
146,"(65, 75)",0.9151515151515153,0.19769098703394047
147,"(65, 80)",0.9212121212121214,0.16882894881435298
148,"(65, 85)",0.9454545454545454,0.16882894881435295
149,"(65, 90)",0.9212121212121214,0.20354976513632322
150,"(70, 20)",0.9636363636363637,0.11876313904403286
151,"(70, 25)",0.9454545454545454,0.13713586059375463
152,"(70, 30)",0.9333333333333335,0.17056057308448835
153,"(70, 35)",0.9515151515151515,0.16171714017122832
154,"(70, 40)",0.9393939393939394,0.16531129329679828
155,"(70, 45)",0.9151515151515152,0.20570379089063204
