,hidden_layer,Accuracy,Std
0,"(20, 20, 20)",0.9090909090909091,0.19917183909278768
1,"(20, 20, 30)",0.9393939393939394,0.1327812260618584
2,"(20, 20, 40)",0.8969696969696969,0.1999081515450987
3,"(20, 20, 50)",0.9212121212121214,0.21885418285173075
4,"(20, 20, 60)",0.896969696969697,0.19990815154509872
5,"(20, 20, 70)",0.9151515151515152,0.19769098703394053
6,"(20, 20, 80)",0.9454545454545454,0.15896820664974542
7,"(20, 20, 90)",0.9212121212121211,0.24663018120455524
8,"(20, 25, 20)",0.9030303030303031,0.18302628933989695
9,"(20, 25, 30)",0.9090909090909091,0.153322553220285
10,"(20, 25, 40)",0.9454545454545454,0.13713586059375463
11,"(20, 25, 50)",0.9575757575757575,0.1533225532202851
12,"(20, 25, 60)",0.9393939393939394,0.19241827716833385
13,"(20, 25, 70)",0.9272727272727274,0.16531129329679828
14,"(20, 25, 80)",0.9454545454545454,0.15896820664974548
15,"(20, 25, 90)",0.9090909090909091,0.23628592351052033
16,"(20, 30, 20)",0.9030303030303031,0.24363334839080944
17,"(20, 30, 30)",0.9030303030303031,0.19990815154509867
18,"(20, 30, 40)",0.8787878787878789,0.2399877560390707
19,"(20, 30, 50)",0.9030303030303031,0.22284577346485138
20,"(20, 30, 60)",0.896969696969697,0.2688614910644707
21,"(20, 30, 70)",0.896969696969697,0.22284577346485135
22,"(20, 30, 80)",0.8848484848484849,0.24841092765962663
23,"(20, 30, 90)",0.9090909090909091,0.21478842602023457
24,"(20, 35, 20)",0.896969696969697,0.23690691255384322
25,"(20, 35, 30)",0.8727272727272727,0.26334013312000526
26,"(20, 35, 40)",0.9454545454545454,0.1484539238050411
27,"(20, 35, 50)",0.8969696969696972,0.17397212235645235
28,"(20, 35, 60)",0.9212121212121214,0.1869969529762608
29,"(20, 35, 70)",0.9333333333333332,0.19694638556693242
30,"(20, 35, 80)",0.9393939393939394,0.1327812260618584
31,"(20, 35, 90)",0.9393939393939394,0.15522725424079634
32,"(20, 40, 20)",0.9393939393939394,0.1327812260618584
33,"(20, 40, 30)",0.9030303030303031,0.2299838298304276
34,"(20, 40, 40)",0.9454545454545454,0.21134055483833566
35,"(20, 40, 50)",0.9575757575757575,0.11751951169494129
36,"(20, 40, 60)",0.9212121212121214,0.1869969529762608
37,"(20, 40, 70)",0.9212121212121214,0.2113405548383357
38,"(20, 40, 80)",0.9212121212121211,0.25940526738221453
39,"(20, 40, 90)",0.9272727272727272,0.19241827716833387
40,"(20, 45, 20)",0.9030303030303031,0.2369069125538432
41,"(20, 45, 30)",0.9151515151515153,0.23503902338988258
42,"(20, 45, 40)",0.9454545454545454,0.15896820664974542
43,"(20, 45, 50)",0.9090909090909091,0.20712736352284922
44,"(20, 45, 60)",0.9333333333333335,0.1885618083164127
45,"(20, 45, 70)",0.9333333333333332,0.1885618083164127
46,"(20, 45, 80)",0.9393939393939394,0.17481460729522372
47,"(20, 45, 90)",0.896969696969697,0.19165319152535634
48,"(20, 50, 20)",0.9151515151515152,0.22805924511790038
49,"(20, 50, 30)",0.9393939393939394,0.1653112932967982
50,"(20, 50, 40)",0.9272727272727274,0.20064176190602243
51,"(20, 50, 50)",0.9333333333333335,0.16080605044147395
52,"(20, 50, 60)",0.9151515151515152,0.20570379089063204
53,"(20, 50, 70)",0.9393939393939394,0.20854121859497282
54,"(20, 50, 80)",0.9454545454545454,0.15896820664974548
