,hidden_layer,Accuracy,Std
0,"(20, 20)",0.9393939393939394,0.16531129329679828
1,"(20, 25)",0.9515151515151515,0.1976909870339405
2,"(20, 30)",0.9454545454545454,0.14845392380504105
3,"(20, 35)",0.9212121212121214,0.21885418285173083
4,"(20, 40)",0.9333333333333335,0.22741409744598445
5,"(20, 45)",0.9636363636363637,0.08740730364761184
6,"(20, 50)",0.9272727272727272,0.1838272834921588
7,"(20, 55)",0.9575757575757575,0.1908850393699833
8,"(20, 60)",0.9151515151515153,0.22805924511790032
9,"(20, 65)",0.9575757575757575,0.13054944986992736
10,"(20, 70)",0.9393939393939394,0.16531129329679828
11,"(20, 75)",0.9333333333333335,0.1797866299901979
12,"(20, 80)",0.9393939393939394,0.15522725424079636
13,"(20, 85)",0.9515151515151515,0.12827885144555587
14,"(20, 90)",0.9454545454545454,0.19544867268602545
15,"(25, 20)",0.9333333333333335,0.1885618083164127
16,"(25, 25)",0.9515151515151515,0.11499191491521377
17,"(25, 30)",0.9454545454545454,0.18699695297626076
18,"(25, 35)",0.9515151515151515,0.1617171401712283
19,"(25, 40)",0.9272727272727272,0.23062178897503574
20,"(25, 45)",0.9696969696969698,0.10427060929748636
21,"(25, 50)",0.9333333333333335,0.16080605044147395
22,"(25, 55)",0.9393939393939394,0.10567027741916783
23,"(25, 60)",0.9575757575757575,0.13054944986992736
24,"(25, 65)",0.9575757575757575,0.10285189544531598
25,"(25, 70)",0.9454545454545454,0.16882894881435295
26,"(25, 75)",0.9515151515151516,0.12827885144555587
27,"(25, 80)",0.9272727272727274,0.23752627808806576
28,"(25, 85)",0.9636363636363637,0.15427784316797402
29,"(25, 90)",0.9333333333333335,0.19694638556693236
30,"(30, 20)",0.9818181818181819,0.08221006040151838
31,"(30, 25)",0.9212121212121211,0.20354976513632322
32,"(30, 30)",0.9454545454545454,0.12479551686044846
33,"(30, 35)",0.9454545454545454,0.12479551686044846
34,"(30, 40)",0.9636363636363636,0.11876313904403284
35,"(30, 45)",0.9636363636363637,0.11876313904403286
36,"(30, 50)",0.9212121212121214,0.18699695297626076
37,"(30, 55)",0.9575757575757575,0.11751951169494128
38,"(30, 60)",0.9515151515151515,0.17141982574219336
39,"(30, 65)",0.9393939393939394,0.1444409125795513
40,"(30, 70)",0.9454545454545454,0.16882894881435295
41,"(30, 75)",0.9151515151515152,0.17141982574219336
42,"(30, 80)",0.9212121212121214,0.15896820664974542
43,"(30, 85)",0.9454545454545454,0.19544867268602545
44,"(30, 90)",0.9272727272727272,0.1838272834921588
45,"(35, 20)",0.9151515151515152,0.18060199303941019
46,"(35, 25)",0.9515151515151515,0.12827885144555587
47,"(35, 30)",0.9393939393939394,0.1444409125795513
48,"(35, 35)",0.9272727272727272,0.2694074032835499
49,"(35, 40)",0.9333333333333335,0.15042028661807094
50,"(35, 45)",0.9515151515151515,0.11499191491521377
51,"(35, 50)",0.9272727272727274,0.20064176190602243
52,"(35, 55)",0.9333333333333335,0.1271283452327456
53,"(35, 60)",0.9575757575757575,0.1533225532202851
54,"(35, 65)",0.9333333333333335,0.15042028661807097
55,"(35, 70)",0.9393939393939394,0.1838272834921588
56,"(35, 75)",0.9333333333333335,0.17056057308448835
57,"(35, 80)",0.9151515151515152,0.19769098703394053
58,"(35, 85)",0.9333333333333335,0.13926212476455824
59,"(35, 90)",0.9454545454545454,0.12479551686044846
60,"(40, 20)",0.9393939393939394,0.17481460729522372
61,"(40, 25)",0.9757575757575758,0.08570991287109664
62,"(40, 30)",0.9696969696969698,0.11876313904403284
63,"(40, 35)",0.9636363636363636,0.08740730364761184
64,"(40, 40)",0.9636363636363637,0.08740730364761184
65,"(40, 45)",0.9636363636363637,0.15427784316797402
66,"(40, 50)",0.9393939393939394,0.15522725424079628
67,"(40, 55)",0.9757575757575758,0.08570991287109664
68,"(40, 60)",0.9636363636363636,0.11876313904403284
69,"(40, 65)",0.9454545454545454,0.12479551686044846
70,"(40, 70)",0.9636363636363636,0.11876313904403284
71,"(40, 75)",0.9454545454545454,0.12479551686044846
72,"(40, 80)",0.9515151515151515,0.1617171401712283
73,"(40, 85)",0.9515151515151515,0.15139389087026414
74,"(40, 90)",0.9515151515151515,0.15139389087026414
75,"(45, 20)",0.9454545454545454,0.15896820664974548
76,"(45, 25)",0.9515151515151515,0.18060199303941019
77,"(45, 30)",0.9575757575757575,0.11751951169494129
78,"(45, 35)",0.9515151515151515,0.11499191491521375
79,"(45, 40)",0.9575757575757575,0.1423920015087361
80,"(45, 45)",0.9515151515151515,0.09995407577254933
81,"(45, 50)",0.9636363636363636,0.10427060929748636
82,"(45, 55)",0.9515151515151515,0.14031317457927542
83,"(45, 60)",0.9636363636363636,0.10427060929748636
84,"(45, 65)",0.9757575757575758,0.08570991287109665
85,"(45, 70)",0.9454545454545454,0.1484539238050411
86,"(45, 75)",0.9393939393939394,0.1838272834921588
87,"(45, 80)",0.9454545454545454,0.14845392380504105
88,"(45, 85)",0.9454545454545454,0.12479551686044846
89,"(45, 90)",0.9515151515151515,0.11499191491521377
90,"(50, 20)",0.9515151515151515,0.12827885144555587
91,"(50, 25)",0.9515151515151515,0.14031317457927542
92,"(50, 30)",0.9393939393939394,0.16531129329679828
93,"(50, 35)",0.9454545454545454,0.15896820664974548
94,"(50, 40)",0.9757575757575758,0.10285189544531598
95,"(50, 45)",0.9575757575757575,0.10285189544531598
96,"(50, 50)",0.9696969696969698,0.10427060929748636
97,"(50, 55)",0.9757575757575758,0.08570991287109665
98,"(50, 60)",0.9757575757575758,0.10285189544531598
99,"(50, 65)",0.9696969696969698,0.08740730364761184
100,"(50, 70)",0.9636363636363637,0.11876313904403286
101,"(50, 75)",0.9515151515151515,0.15139389087026414
102,"(50, 80)",0.9575757575757577,0.1423920015087361
103,"(50, 85)",0.9636363636363637,0.1316700665600026
104,"(50, 90)",0.9696969696969698,0.11876313904403284
105,"(55, 20)",0.9393939393939394,0.17481460729522372
106,"(55, 25)",0.9575757575757575,0.1533225532202851
107,"(55, 30)",0.9757575757575758,0.11751951169494129
108,"(55, 35)",0.9636363636363636,0.11876313904403284
109,"(55, 40)",0.9757575757575758,0.08570991287109664
110,"(55, 45)",0.9757575757575758,0.11751951169494129
111,"(55, 50)",0.9636363636363637,0.1316700665600026
112,"(55, 55)",0.9696969696969698,0.11876313904403284
113,"(55, 60)",0.9636363636363636,0.11876313904403284
114,"(55, 65)",0.9757575757575758,0.11751951169494129
115,"(55, 70)",0.9696969696969698,0.11876313904403284
116,"(55, 75)",0.9696969696969698,0.08740730364761184
117,"(55, 80)",0.9757575757575758,0.08570991287109664
118,"(55, 85)",0.9696969696969698,0.11876313904403284
119,"(55, 90)",0.9636363636363636,0.15427784316797405
120,"(60, 20)",0.9696969696969698,0.08740730364761184
121,"(60, 25)",0.9636363636363637,0.08740730364761184
122,"(60, 30)",0.9515151515151515,0.11499191491521375
123,"(60, 35)",0.9515151515151515,0.1617171401712283
124,"(60, 40)",0.9696969696969698,0.13167006656000257
125,"(60, 45)",0.9636363636363636,0.11876313904403284
126,"(60, 50)",0.9696969696969698,0.08740730364761184
127,"(60, 55)",0.9636363636363636,0.13167006656000257
128,"(60, 60)",0.9575757575757575,0.10285189544531598
129,"(60, 65)",0.9454545454545454,0.12479551686044846
130,"(60, 70)",0.9515151515151515,0.15139389087026414
131,"(60, 75)",0.9515151515151515,0.12827885144555587
132,"(60, 80)",0.9393939393939394,0.1838272834921588
133,"(60, 85)",0.9454545454545454,0.13713586059375463
134,"(60, 90)",0.9393939393939394,0.11999387801953532
135,"(65, 20)",0.9454545454545454,0.19544867268602545
136,"(65, 25)",0.9575757575757575,0.10285189544531598
137,"(65, 30)",0.9636363636363637,0.10427060929748637
138,"(65, 35)",0.9696969696969698,0.08740730364761184
139,"(65, 40)",0.9878787878787879,0.0766612766101425
140,"(65, 45)",0.9696969696969698,0.08740730364761184
141,"(65, 50)",0.9696969696969698,0.08740730364761184
142,"(65, 55)",0.9696969696969698,0.08740730364761184
143,"(65, 60)",0.9454545454545454,0.11109274412014156
144,"(65, 65)",0.9575757575757577,0.10285189544531598
145,"(65, 70)",0.9515151515151515,0.12827885144555587
146,"(65, 75)",0.9636363636363637,0.10427060929748637
147,"(65, 80)",0.9575757575757575,0.11751951169494129
148,"(65, 85)",0.9636363636363637,0.10427060929748637
149,"(65, 90)",0.9515151515151515,0.12827885144555587
150,"(70, 20)",0.9454545454545454,0.13713586059375463
151,"(70, 25)",0.9515151515151515,0.12827885144555587
152,"(70, 30)",0.9515151515151515,0.1976909870339405
153,"(70, 35)",0.9575757575757575,0.08570991287109664
154,"(70, 40)",0.9696969696969698,0.08740730364761184
155,"(70, 45)",0.9272727272727272,0.23062178897503574
156,"(70, 50)",0.9393939393939394,0.1838272834921588
157,"(70, 55)",0.9575757575757575,0.11751951169494129
158,"(70, 60)",0.9757575757575758,0.06413942572277793
159,"(70, 65)",0.9515151515151515,0.12827885144555587
160,"(70, 70)",0.9454545454545454,0.14845392380504105
161,"(70, 75)",0.9393939393939394,0.2006417619060224
162,"(70, 80)",0.9454545454545454,0.13713586059375463
163,"(70, 85)",0.9636363636363637,0.11876313904403286
164,"(70, 90)",0.9696969696969698,0.08740730364761184
165,"(75, 20)",0.9636363636363636,0.13167006656000257
166,"(75, 25)",0.9515151515151515,0.18060199303941019
167,"(75, 30)",0.9757575757575758,0.10285189544531598
168,"(75, 35)",0.9515151515151515,0.14031317457927542
169,"(75, 40)",0.9575757575757575,0.13054944986992736
170,"(75, 45)",0.9454545454545454,0.18699695297626076
171,"(75, 50)",0.9515151515151515,0.11499191491521377
172,"(75, 55)",0.9757575757575758,0.08570991287109664
173,"(75, 60)",0.9575757575757575,0.11751951169494129
174,"(75, 65)",0.9636363636363637,0.10427060929748637
175,"(75, 70)",0.9515151515151515,0.14031317457927542
176,"(75, 75)",0.9515151515151515,0.12827885144555587
177,"(75, 80)",0.9696969696969696,0.13167006656000257
178,"(75, 85)",0.9636363636363637,0.15427784316797402
179,"(75, 90)",0.9575757575757577,0.11751951169494129
180,"(80, 20)",0.9454545454545454,0.15896820664974542
181,"(80, 25)",0.9393939393939394,0.20064176190602243
182,"(80, 30)",0.9757575757575758,0.11751951169494129
183,"(80, 35)",0.9636363636363636,0.08740730364761184
184,"(80, 40)",0.9636363636363636,0.13167006656000257
185,"(80, 45)",0.9454545454545454,0.14845392380504105
186,"(80, 50)",0.9393939393939394,0.1327812260618584
187,"(80, 55)",0.9515151515151515,0.15139389087026414
188,"(80, 60)",0.9757575757575758,0.15332255322028507
189,"(80, 65)",0.9636363636363637,0.11876313904403286
190,"(80, 70)",0.9515151515151515,0.18060199303941019
191,"(80, 75)",0.9575757575757575,0.13054944986992736
192,"(80, 80)",0.9515151515151515,0.15139389087026414
193,"(80, 85)",0.9515151515151515,0.15139389087026414
194,"(80, 90)",0.9696969696969696,0.13167006656000257
195,"(85, 20)",0.9818181818181819,0.08221006040151838
196,"(85, 25)",0.9878787878787879,0.0766612766101425
197,"(85, 30)",0.9696969696969698,0.08740730364761184
198,"(85, 35)",0.9757575757575758,0.11751951169494129
199,"(85, 40)",0.9636363636363636,0.13167006656000257
200,"(85, 45)",0.9696969696969696,0.08740730364761184
201,"(85, 50)",0.9818181818181819,0.08221006040151839
202,"(85, 55)",0.9818181818181819,0.08221006040151838
203,"(85, 60)",0.9575757575757575,0.1533225532202851
204,"(85, 65)",0.9575757575757575,0.13054944986992736
205,"(85, 70)",0.9636363636363636,0.13167006656000257
206,"(85, 75)",0.9515151515151515,0.16171714017122832
207,"(85, 80)",0.9757575757575758,0.11751951169494129
208,"(85, 85)",0.9575757575757575,0.16352409167553988
209,"(85, 90)",0.9636363636363636,0.13167006656000257
210,"(90, 20)",0.9636363636363637,0.11876313904403286
211,"(90, 25)",0.9818181818181819,0.11499191491521378
212,"(90, 30)",0.9515151515151515,0.12827885144555587
213,"(90, 35)",0.9454545454545454,0.13713586059375463
214,"(90, 40)",0.9575757575757575,0.13054944986992736
215,"(90, 45)",0.9575757575757575,0.13054944986992734
216,"(90, 50)",0.9575757575757575,0.1423920015087361
217,"(90, 55)",0.9515151515151515,0.11499191491521377
