,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20, 20)",0.8545454545454546,0.13278122606185846,0.2648477554321289
1,"(20, 20, 40)",0.9030303030303031,0.11142288673242567,0.379162073135376
2,"(20, 20, 60)",0.8727272727272727,0.11876313904403289,0.4067683219909668
3,"(20, 20, 80)",0.9090909090909091,0.08656276883082242,0.32382965087890625
4,"(20, 30, 20)",0.890909090909091,0.13713586059375468,0.2748267650604248
5,"(20, 30, 40)",0.890909090909091,0.12151477367129349,0.302828311920166
6,"(20, 30, 60)",0.896969696969697,0.13740344301520768,0.3647913932800293
7,"(20, 30, 80)",0.8848484848484849,0.10670798097975158,0.4497413635253906
8,"(20, 40, 20)",0.9151515151515153,0.07569694543513211,0.29984354972839355
9,"(20, 40, 40)",0.896969696969697,0.12508949963969876,0.2958357334136963
10,"(20, 40, 60)",0.8666666666666667,0.12060453783110547,0.43472909927368164
11,"(20, 40, 80)",0.8848484848484849,0.14795824988768122,0.40576887130737305
12,"(20, 50, 20)",0.890909090909091,0.11814296175526018,0.5896627902984619
13,"(20, 50, 40)",0.9030303030303031,0.10773568990685563,0.40485191345214844
14,"(20, 50, 60)",0.890909090909091,0.09111088714165401,0.628638744354248
15,"(20, 50, 80)",0.9090909090909091,0.1110927441201416,0.4607360363006592
16,"(20, 60, 20)",0.9030303030303031,0.10773568990685564,0.3268129825592041
17,"(20, 60, 40)",0.896969696969697,0.10773568990685564,0.3728504180908203
18,"(20, 60, 60)",0.8787878787878789,0.1233150906022776,0.3940603733062744
19,"(20, 60, 80)",0.890909090909091,0.09958591954639384,0.46173810958862305
20,"(20, 70, 20)",0.890909090909091,0.09111088714165398,0.2908515930175781
21,"(20, 70, 40)",0.8727272727272729,0.10427060929748638,0.3809518814086914
22,"(20, 70, 60)",0.9090909090909091,0.08656276883082242,0.4422767162322998
23,"(20, 70, 80)",0.890909090909091,0.1538009398842366,0.47472643852233887
24,"(20, 80, 20)",0.9272727272727274,0.10032088095301121,0.31782054901123047
25,"(20, 80, 40)",0.896969696969697,0.13740344301520768,0.41487812995910645
26,"(20, 80, 60)",0.890909090909091,0.09544251968499165,0.5450212955474854
27,"(20, 80, 80)",0.8848484848484849,0.11402962255895016,0.6464622020721436
28,"(20, 90, 20)",0.8666666666666668,0.15042028661807097,0.4558272361755371
29,"(20, 90, 40)",0.8727272727272727,0.14057470914840245,0.4350595474243164
30,"(20, 90, 60)",0.9090909090909091,0.08176204583776994,0.5325222015380859
31,"(20, 90, 80)",0.8727272727272727,0.15427784316797402,0.6845910549163818
32,"(30, 20, 20)",0.8909090909090908,0.1247955168604485,0.2638516426086426
33,"(30, 20, 40)",0.8787878787878788,0.10567027741916787,0.28183817863464355
34,"(30, 20, 60)",0.8787878787878789,0.13278122606185846,0.2988262176513672
35,"(30, 20, 80)",0.8666666666666667,0.16575508280214962,0.3188178539276123
36,"(30, 30, 20)",0.9212121212121214,0.06239775843022423,0.26984691619873047
37,"(30, 30, 40)",0.896969696969697,0.13740344301520768,0.28783345222473145
38,"(30, 30, 60)",0.9090909090909093,0.10356368176142462,0.33580827713012695
39,"(30, 30, 80)",0.9333333333333335,0.08989331499509895,0.3627946376800537
40,"(30, 40, 20)",0.8545454545454546,0.13873361384557087,0.2648460865020752
41,"(30, 40, 40)",0.9333333333333335,0.07521014330903547,0.30582427978515625
42,"(30, 40, 60)",0.9151515151515152,0.09466969304129277,0.3607954978942871
43,"(30, 40, 80)",0.8787878787878789,0.14161601752179304,0.3987715244293213
44,"(30, 50, 20)",0.8969696969696969,0.09582659576267817,0.288834810256958
45,"(30, 50, 40)",0.8727272727272727,0.1042706092974864,0.3588097095489502
46,"(30, 50, 60)",0.8787878787878789,0.10567027741916785,0.37514567375183105
47,"(30, 50, 80)",0.8787878787878789,0.1472116097150439,0.4327516555786133
48,"(30, 60, 20)",0.9151515151515152,0.0946696930412928,0.35179829597473145
49,"(30, 60, 40)",0.896969696969697,0.09995407577254935,0.4041433334350586
50,"(30, 60, 60)",0.9030303030303031,0.0915131446699485,0.4454836845397949
51,"(30, 60, 80)",0.9090909090909091,0.11109274412014158,0.4827413558959961
52,"(30, 70, 20)",0.890909090909091,0.10356368176142461,0.36577582359313965
53,"(30, 70, 40)",0.9333333333333335,0.08040302522073697,0.43013501167297363
54,"(30, 70, 60)",0.9333333333333335,0.07521014330903547,0.45986270904541016
55,"(30, 70, 80)",0.9090909090909091,0.10356368176142464,0.548992395401001
56,"(30, 80, 20)",0.8787878787878788,0.13579003940853382,0.4027712345123291
57,"(30, 80, 40)",0.9030303030303031,0.1149919149152138,0.4010884761810303
58,"(30, 80, 60)",0.896969696969697,0.0915131446699485,0.49085307121276855
59,"(30, 80, 80)",0.9090909090909091,0.14005115161565262,0.6086673736572266
60,"(30, 90, 20)",0.9090909090909091,0.08176204583776994,0.4206511974334717
61,"(30, 90, 40)",0.9212121212121211,0.08907235428302467,0.4889814853668213
62,"(30, 90, 60)",0.8787878787878788,0.11999387801953534,0.593951940536499
63,"(30, 90, 80)",0.896969696969697,0.1184534562769216,0.6526222229003906
64,"(40, 20, 20)",0.9454545454545454,0.07422696190252052,0.28591299057006836
65,"(40, 20, 40)",0.9030303030303031,0.1282788514455559,0.3268136978149414
66,"(40, 20, 60)",0.9151515151515152,0.102851895445316,0.3483254909515381
67,"(40, 20, 80)",0.9151515151515152,0.09030099651970507,0.3421924114227295
68,"(40, 30, 20)",0.9272727272727274,0.10032088095301121,0.3097410202026367
69,"(40, 30, 40)",0.9212121212121211,0.1094270914258654,0.32451820373535156
70,"(40, 30, 60)",0.9333333333333335,0.07521014330903548,0.3756229877471924
71,"(40, 30, 80)",0.9515151515151515,0.057495957457606876,0.40286731719970703
72,"(40, 40, 20)",0.9454545454545454,0.07948410332487274,0.3319246768951416
73,"(40, 40, 40)",0.9393939393939394,0.06639061303092922,0.3700730800628662
74,"(40, 40, 60)",0.9333333333333335,0.10249414863810766,0.38915109634399414
75,"(40, 40, 80)",0.9393939393939394,0.08265564664839914,0.4164290428161621
76,"(40, 50, 20)",0.9333333333333335,0.07521014330903547,0.35839104652404785
77,"(40, 50, 40)",0.9333333333333335,0.1063632046956621,0.40346312522888184
78,"(40, 50, 60)",0.9333333333333335,0.08528028654224418,0.4348142147064209
79,"(40, 50, 80)",0.9393939393939394,0.09620913858416692,0.4638378620147705
80,"(40, 60, 20)",0.9454545454545454,0.06239775843022423,0.3938438892364502
81,"(40, 60, 40)",0.9454545454545454,0.06856793029687731,0.45174551010131836
82,"(40, 60, 60)",0.9333333333333335,0.08528028654224418,0.44680118560791016
83,"(40, 60, 80)",0.9393939393939394,0.07761362712039814,0.5425488948822021
84,"(40, 70, 20)",0.9212121212121211,0.0934984764881304,0.3960258960723877
85,"(40, 70, 40)",0.9333333333333332,0.09847319278346618,0.46491146087646484
86,"(40, 70, 60)",0.9272727272727272,0.09620913858416694,0.4969930648803711
87,"(40, 70, 80)",0.9515151515151515,0.07015658728963771,0.623405933380127
88,"(40, 80, 20)",0.9393939393939394,0.07761362712039817,0.3937845230102539
89,"(40, 80, 40)",0.9393939393939394,0.09620913858416692,0.4836995601654053
90,"(40, 80, 60)",0.9090909090909091,0.11814296175526016,0.5636765956878662
91,"(40, 80, 80)",0.9272727272727272,0.10427060929748638,0.6586601734161377
92,"(40, 90, 20)",0.9151515151515152,0.102851895445316,0.4429798126220703
93,"(40, 90, 40)",0.9333333333333335,0.08528028654224418,0.5365498065948486
94,"(40, 90, 60)",0.9393939393939394,0.05999693900976766,0.6556634902954102
95,"(40, 90, 80)",0.9393939393939394,0.08265564664839914,0.6388895511627197
96,"(50, 20, 20)",0.909090909090909,0.11814296175526019,0.3596377372741699
