,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20)",0.9393939393939394,0.11531089448751787,0.47994399070739746
1,"(20, 30)",0.9272727272727274,0.11876313904403288,0.24795866012573242
2,"(20, 40)",0.9090909090909091,0.11467204805105757,0.26992058753967285
3,"(20, 50)",0.9333333333333332,0.08989331499509895,0.4971940517425537
4,"(20, 60)",0.9090909090909093,0.11109274412014157,0.7519986629486084
5,"(20, 70)",0.9212121212121211,0.08441447440717648,0.4167594909667969
6,"(20, 80)",0.9333333333333335,0.08040302522073697,0.38777756690979004
7,"(20, 90)",0.9090909090909093,0.10356368176142462,0.5346949100494385
8,"(30, 20)",0.9454545454545454,0.06856793029687731,0.47272825241088867
9,"(30, 30)",0.9393939393939394,0.08265564664839914,0.5167045593261719
10,"(30, 40)",0.9393939393939394,0.10427060929748638,0.37178683280944824
11,"(30, 50)",0.9333333333333332,0.09428090415820634,0.3339047431945801
12,"(30, 60)",0.9272727272727274,0.09620913858416694,0.40006041526794434
13,"(30, 70)",0.9333333333333335,0.09847319278346618,0.4869081974029541
14,"(30, 80)",0.9333333333333335,0.0635641726163728,0.3688833713531494
15,"(30, 90)",0.9090909090909091,0.09544251968499164,0.38978075981140137
16,"(40, 20)",0.9393939393939394,0.05999693900976766,0.6531312465667725
17,"(40, 30)",0.9575757575757577,0.06527472493496367,0.7210953235626221
18,"(40, 40)",0.9515151515151515,0.06413942572277793,0.5051066875457764
19,"(40, 50)",0.9393939393939394,0.07761362712039814,0.3847792148590088
20,"(40, 60)",0.9515151515151515,0.06413942572277793,0.3709273338317871
21,"(40, 70)",0.9515151515151515,0.07569694543513211,0.3558506965637207
22,"(40, 80)",0.9454545454545454,0.07948410332487274,0.4444437026977539
23,"(40, 90)",0.9575757575757575,0.08176204583776994,0.8715016841888428
24,"(50, 20)",0.9575757575757577,0.06527472493496367,0.2908365726470947
25,"(50, 30)",0.9272727272727274,0.07222045628977565,0.31981420516967773
26,"(50, 40)",0.9454545454545454,0.06239775843022423,0.35779452323913574
27,"(50, 50)",0.9454545454545454,0.07422696190252054,0.33408379554748535
28,"(50, 60)",0.9454545454545454,0.07948410332487271,0.4199652671813965
29,"(50, 70)",0.9151515151515152,0.09030099651970507,0.3852066993713379
30,"(50, 80)",0.9212121212121211,0.08441447440717649,0.3817892074584961
31,"(50, 90)",0.9272727272727274,0.08740730364761187,0.4639720916748047
32,"(60, 20)",0.9636363636363637,0.052135304648743185,0.2808394432067871
33,"(60, 30)",0.9333333333333335,0.08989331499509895,0.3175792694091797
34,"(60, 40)",0.9393939393939394,0.07761362712039817,0.33896899223327637
35,"(60, 50)",0.9515151515151515,0.06413942572277793,0.3439972400665283
36,"(60, 60)",0.9333333333333335,0.1063632046956621,0.36807847023010254
37,"(60, 70)",0.9272727272727274,0.08740730364761186,0.41403746604919434
38,"(60, 80)",0.9333333333333335,0.08040302522073697,0.4897196292877197
39,"(60, 90)",0.9272727272727274,0.06639061303092922,0.42375731468200684
40,"(70, 20)",0.9515151515151515,0.07015658728963771,0.36979222297668457
41,"(70, 30)",0.9454545454545454,0.06239775843022423,0.40143322944641113
42,"(70, 40)",0.9393939393939394,0.0919136417460794,0.41576242446899414
43,"(70, 50)",0.9333333333333335,0.09428090415820635,0.8015403747558594
44,"(70, 60)",0.9515151515151515,0.06413942572277793,0.41576266288757324
45,"(70, 70)",0.9333333333333335,0.10249414863810766,0.47172975540161133
46,"(70, 80)",0.9272727272727274,0.10427060929748638,0.5396900177001953
47,"(70, 90)",0.9575757575757577,0.051425947722657996,0.5257015228271484
48,"(80, 20)",0.9212121212121214,0.09349847648813038,0.32780981063842773
49,"(80, 30)",0.9515151515151515,0.08085857008561416,0.35480356216430664
50,"(80, 40)",0.9515151515151515,0.08085857008561412,0.40766429901123047
51,"(80, 50)",0.9454545454545454,0.07948410332487271,0.41323280334472656
52,"(80, 60)",0.9515151515151515,0.09466969304129279,0.4267091751098633
53,"(80, 70)",0.9333333333333335,0.08528028654224418,0.7372996807098389
54,"(80, 80)",0.9454545454545454,0.07948410332487274,0.6441285610198975
55,"(80, 90)",0.9515151515151515,0.06413942572277793,0.7901129722595215
56,"(90, 20)",0.9272727272727274,0.08265564664839914,0.4507410526275635
57,"(90, 30)",0.9454545454545454,0.06856793029687733,0.48472142219543457
58,"(90, 40)",0.9272727272727274,0.07222045628977565,0.4807257652282715
59,"(90, 50)",0.9636363636363637,0.05938156952201643,0.408782958984375
60,"(90, 60)",0.9515151515151515,0.06413942572277793,0.7601735591888428
61,"(90, 70)",0.9333333333333335,0.08528028654224418,0.671189546585083
62,"(90, 80)",0.9333333333333335,0.08528028654224418,0.6216402053833008
63,"(90, 90)",0.9515151515151515,0.04997703788627467,0.564434289932251
