,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20, 20)",0.9393939393939394,0.08265564664839914,1.8364202976226807
1,"(20, 20, 40)",0.9333333333333335,0.08040302522073697,1.559891939163208
2,"(20, 20, 60)",0.9151515151515152,0.08570991287109668,1.8272368907928467
3,"(20, 20, 80)",0.8727272727272729,0.12211782836127204,1.8900225162506104
4,"(20, 30, 20)",0.9212121212121214,0.11657808522225056,1.1541368961334229
5,"(20, 30, 40)",0.9212121212121214,0.10177488256816161,1.310807466506958
6,"(20, 30, 60)",0.8848484848484849,0.11042949792902182,1.8409936428070068
7,"(20, 30, 80)",0.9212121212121211,0.1017748825681616,2.1538798809051514
8,"(20, 40, 20)",0.9393939393939394,0.07761362712039814,1.313288927078247
9,"(20, 40, 40)",0.9333333333333335,0.11370704872299223,1.4277598857879639
10,"(20, 40, 60)",0.9333333333333335,0.06963106238227912,1.9836056232452393
11,"(20, 40, 80)",0.9090909090909091,0.13415723406774943,2.309363603591919
12,"(20, 50, 20)",0.9212121212121211,0.12970263369110727,1.6397545337677002
13,"(20, 50, 40)",0.9090909090909091,0.09958591954639383,1.9020707607269287
14,"(20, 50, 60)",0.9090909090909091,0.1073942130101173,2.071254253387451
15,"(20, 50, 80)",0.9333333333333335,0.08528028654224418,2.3090016841888428
16,"(20, 60, 20)",0.9272727272727272,0.1253827931247103,1.7000277042388916
17,"(20, 60, 40)",0.9696969696969698,0.04370365182380592,2.057631731033325
18,"(20, 60, 60)",0.9212121212121211,0.11305914003744022,2.5003607273101807
19,"(20, 60, 80)",0.9575757575757575,0.05142594772265799,2.4484333992004395
20,"(20, 70, 20)",0.9454545454545454,0.07948410332487271,1.7207083702087402
21,"(20, 70, 40)",0.8787878787878788,0.15260216135774754,2.041388988494873
22,"(20, 70, 60)",0.9333333333333335,0.11370704872299223,2.263035535812378
23,"(20, 70, 80)",0.9151515151515152,0.0946696930412928,2.5668647289276123
24,"(20, 80, 20)",0.9151515151515152,0.1305494498699274,1.7473881244659424
25,"(20, 80, 40)",0.9515151515151515,0.06413942572277793,2.083397150039673
26,"(20, 80, 60)",0.9030303030303031,0.10773568990685563,2.7080650329589844
27,"(20, 80, 80)",0.9393939393939394,0.11531089448751787,3.651672840118408
28,"(20, 90, 20)",0.9333333333333335,0.08989331499509895,2.41232967376709
29,"(20, 90, 40)",0.9454545454545454,0.06856793029687731,2.5019896030426025
30,"(20, 90, 60)",0.9393939393939394,0.12211782836127202,2.925328016281128
31,"(20, 90, 80)",0.896969696969697,0.1149919149152138,3.9066219329833984
32,"(30, 20, 20)",0.9272727272727274,0.07222045628977565,1.2507338523864746
33,"(30, 20, 40)",0.9090909090909091,0.09958591954639386,1.3830440044403076
34,"(30, 20, 60)",0.9454545454545454,0.07422696190252052,1.5309653282165527
35,"(30, 20, 80)",0.9393939393939393,0.08265564664839914,1.7692205905914307
