,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20)",0.9575757575757575,0.058759755847470646,0.6046338081359863
1,"(20, 30)",0.9575757575757577,0.0766612766101425,0.8549544811248779
2,"(20, 40)",0.9454545454545454,0.06239775843022423,0.734992265701294
3,"(20, 50)",0.9515151515151515,0.07569694543513211,1.0599913597106934
4,"(20, 60)",0.9454545454545454,0.06239775843022423,0.8404409885406494
5,"(20, 70)",0.9757575757575758,0.04285495643554832,1.0271658897399902
6,"(20, 80)",0.9636363636363637,0.06583503328000129,1.1024549007415771
7,"(20, 90)",0.9575757575757575,0.06527472493496367,1.260171890258789
8,"(30, 20)",0.9818181818181819,0.041105030200759195,0.6299757957458496
9,"(30, 30)",0.9696969696969698,0.043703651823805915,0.6347885131835938
10,"(30, 40)",0.9757575757575758,0.04285495643554832,0.6852371692657471
11,"(30, 50)",0.9454545454545454,0.07948410332487274,0.7101032733917236
12,"(30, 60)",0.9696969696969696,0.05938156952201642,0.9099438190460205
13,"(30, 70)",0.9757575757575758,0.03206971286138897,1.059666633605957
14,"(30, 80)",0.9757575757575758,0.03206971286138897,1.1601204872131348
15,"(30, 90)",0.9696969696969698,0.04370365182380592,1.200200080871582
16,"(40, 20)",0.9333333333333335,0.10249414863810766,0.7338759899139404
17,"(40, 30)",0.9818181818181819,0.04110503020075919,0.7760097980499268
18,"(40, 40)",0.9818181818181819,0.04110503020075919,0.8298673629760742
19,"(40, 50)",0.9696969696969698,0.04370365182380592,1.022216558456421
20,"(40, 60)",0.9696969696969698,0.05213530464874318,1.048022747039795
21,"(40, 70)",0.9757575757575758,0.058759755847470646,1.0662033557891846
22,"(40, 80)",0.9575757575757575,0.06527472493496368,1.2391963005065918
23,"(40, 90)",0.9818181818181819,0.04110503020075919,1.3321404457092285
24,"(50, 20)",0.9454545454545454,0.06239775843022423,0.9376852512359619
25,"(50, 30)",0.9575757575757575,0.058759755847470646,0.8798224925994873
26,"(50, 40)",0.9515151515151515,0.057495957457606876,1.209751844406128
27,"(50, 50)",0.9878787878787879,0.025712973861328994,1.4396867752075195
28,"(50, 60)",0.9818181818181819,0.02969078476100821,1.4231855869293213
29,"(50, 70)",0.9636363636363636,0.05938156952201642,1.3020131587982178
30,"(50, 80)",0.9757575757575758,0.04285495643554832,1.4789152145385742
31,"(50, 90)",0.9878787878787879,0.025712973861328994,1.9185917377471924
32,"(60, 20)",0.9515151515151515,0.08085857008561416,1.0204153060913086
33,"(60, 30)",0.9636363636363636,0.05213530464874318,1.1517632007598877
34,"(60, 40)",0.9575757575757575,0.05142594772265799,1.1445791721343994
35,"(60, 50)",0.9757575757575758,0.04285495643554832,1.2609343528747559
36,"(60, 60)",0.9818181818181819,0.04110503020075919,1.3295586109161377
37,"(60, 70)",0.9878787878787879,0.03833063830507125,1.3943357467651367
38,"(60, 80)",0.9818181818181819,0.04110503020075919,1.554819107055664
39,"(60, 90)",0.9757575757575758,0.058759755847470646,1.6242637634277344
40,"(70, 20)",0.9575757575757575,0.05875975584747064,1.1872916221618652
41,"(70, 30)",0.9636363636363637,0.07713892158398701,1.1332175731658936
42,"(70, 40)",0.9757575757575758,0.05142594772265799,1.1803414821624756
43,"(70, 50)",0.9636363636363637,0.0658350332800013,1.4685466289520264
44,"(70, 60)",0.9818181818181819,0.029690784761008216,1.401611089706421
45,"(70, 70)",0.9696969696969698,0.04370365182380592,1.5023012161254883
46,"(70, 80)",0.9818181818181819,0.04110503020075919,2.095778465270996
47,"(70, 90)",0.9696969696969698,0.04370365182380592,1.9808623790740967
48,"(80, 20)",0.9636363636363636,0.05213530464874318,1.2083089351654053
49,"(80, 30)",0.9515151515151515,0.057495957457606876,1.3397595882415771
50,"(80, 40)",0.9757575757575758,0.05142594772265799,1.3549103736877441
51,"(80, 50)",0.9818181818181819,0.04110503020075919,1.4301557540893555
52,"(80, 60)",0.9696969696969698,0.05938156952201642,1.5436010360717773
53,"(80, 70)",0.9757575757575758,0.03206971286138897,1.9733989238739014
54,"(80, 80)",0.9818181818181819,0.04110503020075919,2.072981595993042
55,"(80, 90)",0.9757575757575758,0.04285495643554832,2.2846920490264893
56,"(90, 20)",0.9393939393939394,0.0663906130309292,1.3902239799499512
57,"(90, 30)",0.9636363636363636,0.05213530464874318,1.3731377124786377
58,"(90, 40)",0.9818181818181819,0.029690784761008216,1.4153733253479004
59,"(90, 50)",0.9818181818181819,0.02969078476100821,1.7160181999206543
60,"(90, 60)",0.9757575757575758,0.04285495643554832,2.195327043533325
61,"(90, 70)",0.9818181818181819,0.04110503020075919,2.261808395385742
62,"(90, 80)",0.9818181818181819,0.04110503020075919,2.609173536300659
63,"(90, 90)",0.9818181818181819,0.04110503020075919,2.5184578895568848
