,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20, 20)",0.9212121212121214,0.08441447440717649,1.8119850158691406
1,"(20, 20, 40)",0.9151515151515153,0.08570991287109664,1.9883294105529785
2,"(20, 20, 60)",0.9151515151515152,0.08085857008561415,2.1670219898223877
3,"(20, 20, 80)",0.9272727272727274,0.06639061303092922,1.6722838878631592
4,"(20, 30, 20)",0.9151515151515152,0.09466969304129277,1.5680184364318848
5,"(20, 30, 40)",0.9515151515151515,0.07015658728963771,1.6748676300048828
6,"(20, 30, 60)",0.8787878787878788,0.14721160971504388,1.9965190887451172
7,"(20, 30, 80)",0.9212121212121214,0.08907235428302467,2.9014387130737305
8,"(20, 40, 20)",0.9333333333333335,0.11370704872299223,1.65413498878479
9,"(20, 40, 40)",0.9030303030303031,0.14870114116830663,1.5181310176849365
10,"(20, 40, 60)",0.9393939393939394,0.07761362712039814,1.807570219039917
11,"(20, 40, 80)",0.9393939393939394,0.0919136417460794,2.1893880367279053
12,"(20, 50, 20)",0.9454545454545457,0.06239775843022423,1.7398681640625
13,"(20, 50, 40)",0.9333333333333335,0.08528028654224418,2.407566785812378
14,"(20, 50, 60)",0.9454545454545454,0.09772433634301272,2.1812055110931396
15,"(20, 50, 80)",0.9030303030303031,0.09995407577254936,2.185704469680786
16,"(20, 60, 20)",0.9151515151515153,0.08570991287109668,1.9916937351226807
17,"(20, 60, 40)",0.9333333333333335,0.08040302522073697,1.8908329010009766
18,"(20, 60, 60)",0.9515151515151515,0.09030099651970509,2.310957670211792
19,"(20, 60, 80)",0.8666666666666668,0.13632996217214538,2.244926929473877
20,"(20, 70, 20)",0.9636363636363637,0.04370365182380592,2.269684314727783
21,"(20, 70, 40)",0.9454545454545454,0.13278122606185844,1.880601406097412
22,"(20, 70, 60)",0.9272727272727274,0.10427060929748638,1.993255853652954
23,"(20, 70, 80)",0.9333333333333335,0.08989331499509895,2.365647315979004
24,"(20, 80, 20)",0.8909090909090908,0.12151477367129347,2.3296544551849365
25,"(20, 80, 40)",0.896969696969697,0.13139080841623513,2.350349187850952
26,"(20, 80, 60)",0.9151515151515153,0.08570991287109667,2.315601348876953
27,"(20, 80, 80)",0.9212121212121214,0.10177488256816161,3.3911848068237305
28,"(20, 90, 20)",0.9090909090909091,0.12479551686044847,2.557556629180908
29,"(20, 90, 40)",0.9333333333333335,0.08528028654224418,2.5487961769104004
30,"(20, 90, 60)",0.9272727272727274,0.11876313904403288,2.9071059226989746
31,"(20, 90, 80)",0.8606060606060608,0.13470370164177498,3.6156930923461914
32,"(30, 20, 20)",0.9272727272727274,0.07761362712039814,1.4381940364837646
33,"(30, 20, 40)",0.9393939393939394,0.0919136417460794,1.2033100128173828
34,"(30, 20, 60)",0.9090909090909091,0.12151477367129346,1.6050715446472168
35,"(30, 20, 80)",0.8424242424242425,0.1564059139462296,1.6040751934051514
36,"(30, 30, 20)",0.9333333333333335,0.08528028654224415,1.8132133483886719
37,"(30, 30, 40)",0.9333333333333335,0.0635641726163728,1.5839323997497559
38,"(30, 30, 60)",0.9515151515151515,0.09466969304129279,1.61716628074646
39,"(30, 30, 80)",0.9333333333333335,0.08040302522073695,1.5330801010131836
40,"(30, 40, 20)",0.896969696969697,0.10391774666352878,1.4163060188293457
41,"(30, 40, 40)",0.9515151515151515,0.05749595745760688,1.8087234497070312
42,"(30, 40, 60)",0.9454545454545454,0.06239775843022423,2.079098701477051
43,"(30, 40, 80)",0.890909090909091,0.13713586059375468,1.7559936046600342
44,"(30, 50, 20)",0.9393939393939394,0.08740730364761186,1.692030429840088
45,"(30, 50, 40)",0.9212121212121214,0.10177488256816161,2.023573160171509
46,"(30, 50, 60)",0.9333333333333335,0.08040302522073697,1.834500789642334
47,"(30, 50, 80)",0.9151515151515152,0.11751951169494132,2.4972734451293945
48,"(30, 60, 20)",0.9212121212121214,0.10177488256816161,2.4345645904541016
49,"(30, 60, 40)",0.9515151515151516,0.07569694543513208,2.239407539367676
50,"(30, 60, 60)",0.9090909090909093,0.09958591954639384,2.153130531311035
51,"(30, 60, 80)",0.8969696969696969,0.11142288673242569,2.3165512084960938
52,"(30, 70, 20)",0.9090909090909091,0.1073942130101173,2.2251791954040527
53,"(30, 70, 40)",0.9272727272727274,0.07761362712039815,2.3010318279266357
54,"(30, 70, 60)",0.9212121212121214,0.07948410332487274,2.6292078495025635
55,"(30, 70, 80)",0.9030303030303031,0.09995407577254935,3.31185245513916
56,"(30, 80, 20)",0.890909090909091,0.09958591954639386,2.067826509475708
57,"(30, 80, 40)",0.9515151515151515,0.06413942572277793,2.598662853240967
58,"(30, 80, 60)",0.9272727272727274,0.1153108944875179,2.385685920715332
59,"(30, 80, 80)",0.9454545454545454,0.06856793029687731,3.869659662246704
60,"(30, 90, 20)",0.9212121212121211,0.08907235428302467,2.3728573322296143
61,"(30, 90, 40)",0.9393939393939393,0.08740730364761186,2.8544399738311768
62,"(30, 90, 60)",0.9090909090909091,0.11814296175526016,2.948415994644165
63,"(30, 90, 80)",0.8909090909090908,0.12151477367129347,3.1033360958099365
64,"(40, 20, 20)",0.9151515151515152,0.1305494498699274,1.5814354419708252
65,"(40, 20, 40)",0.9151515151515152,0.102851895445316,1.974367380142212
66,"(40, 20, 60)",0.9151515151515153,0.09466969304129277,1.8559207916259766
67,"(40, 20, 80)",0.8969696969696969,0.10773568990685564,1.7334797382354736
