,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20)",0.9636363636363636,0.06583503328000129,0.59665846824646
1,"(20, 30)",0.9030303030303028,0.09151314466994849,0.4787261486053467
2,"(20, 40)",0.9333333333333335,0.09847319278346618,0.5723605155944824
3,"(20, 50)",0.9212121212121211,0.11999387801953536,0.5749855041503906
4,"(20, 60)",0.9151515151515153,0.102851895445316,0.5551977157592773
5,"(20, 70)",0.9212121212121211,0.11999387801953536,0.6001951694488525
6,"(20, 80)",0.9333333333333335,0.09428090415820635,0.5899264812469482
7,"(20, 90)",0.9151515151515153,0.08570991287109668,0.8996622562408447
8,"(30, 20)",0.9393939393939394,0.07761362712039814,0.5963664054870605
9,"(30, 30)",0.890909090909091,0.1311109554714178,0.5588469505310059
10,"(30, 40)",0.9151515151515153,0.11402962255895016,0.5202136039733887
11,"(30, 50)",0.9515151515151515,0.08570991287109668,0.5549564361572266
12,"(30, 60)",0.9212121212121211,0.07422696190252057,0.7002406120300293
13,"(30, 70)",0.9333333333333332,0.07521014330903548,0.8094949722290039
14,"(30, 80)",0.9393939393939394,0.09191364174607941,0.8202836513519287
15,"(30, 90)",0.896969696969697,0.13443074553223536,0.8445603847503662
16,"(40, 20)",0.9515151515151515,0.06413942572277793,0.756181001663208
17,"(40, 30)",0.9696969696969698,0.05213530464874318,0.6396572589874268
18,"(40, 40)",0.9696969696969698,0.05938156952201642,0.617121696472168
19,"(40, 50)",0.896969696969697,0.1149919149152138,0.5811140537261963
20,"(40, 60)",0.9272727272727272,0.10427060929748638,0.8002796173095703
21,"(40, 70)",0.9151515151515152,0.11402962255895019,0.8296942710876465
22,"(40, 80)",0.890909090909091,0.1311109554714178,0.6001744270324707
23,"(40, 90)",0.9515151515151515,0.08085857008561415,0.6502933502197266
24,"(50, 20)",0.9393939393939394,0.052835138709583916,0.819718599319458
25,"(50, 30)",0.9333333333333335,0.06963106238227912,0.7258660793304443
26,"(50, 40)",0.9393939393939394,0.11175205402779258,0.8239152431488037
27,"(50, 50)",0.9454545454545454,0.08441447440717648,0.900414228439331
28,"(50, 60)",0.9272727272727274,0.08265564664839913,0.8698625564575195
29,"(50, 70)",0.9151515151515152,0.09884549351697024,0.839871883392334
30,"(50, 80)",0.9393939393939394,0.0663906130309292,0.9756994247436523
31,"(50, 90)",0.896969696969697,0.1282788514455559,0.7626597881317139
32,"(60, 20)",0.9454545454545454,0.08907235428302467,0.7167644500732422
33,"(60, 30)",0.9515151515151515,0.05749595745760688,0.8476383686065674
34,"(60, 40)",0.9454545454545454,0.06239775843022423,0.6715872287750244
35,"(60, 50)",0.9272727272727274,0.07761362712039814,0.7656989097595215
36,"(60, 60)",0.9151515151515152,0.102851895445316,0.7958612442016602
37,"(60, 70)",0.9454545454545454,0.05554637206007078,0.9487454891204834
38,"(60, 80)",0.9090909090909091,0.08176204583776994,0.7161300182342529
39,"(60, 90)",0.8848484848484849,0.12090871117127276,0.6091525554656982
40,"(70, 20)",0.9636363636363637,0.05938156952201643,0.8495132923126221
41,"(70, 30)",0.9333333333333335,0.08528028654224418,0.8591208457946777
42,"(70, 40)",0.9393939393939394,0.08265564664839914,0.8838160037994385
43,"(70, 50)",0.9575757575757575,0.04285495643554832,0.8793938159942627
44,"(70, 60)",0.9151515151515153,0.09884549351697024,0.7002766132354736
45,"(70, 70)",0.9333333333333335,0.08528028654224418,0.7438051700592041
46,"(70, 80)",0.9333333333333332,0.08989331499509895,0.9795494079589844
47,"(70, 90)",0.9212121212121211,0.10567027741916786,0.7318484783172607
48,"(80, 20)",0.9575757575757575,0.06527472493496368,1.0013816356658936
49,"(80, 30)",0.9636363636363636,0.07713892158398702,0.9639384746551514
50,"(80, 40)",0.9636363636363637,0.05938156952201643,1.054905891418457
51,"(80, 50)",0.9333333333333335,0.0752101433090355,0.8070251941680908
52,"(80, 60)",0.9515151515151515,0.07569694543513207,0.9444074630737305
53,"(80, 70)",0.9333333333333335,0.08040302522073697,1.2201974391937256
54,"(80, 80)",0.9212121212121211,0.09349847648813041,0.8249537944793701
55,"(80, 90)",0.9454545454545454,0.08441447440717648,0.7350928783416748
56,"(90, 20)",0.9696969696969698,0.04370365182380592,1.0598580837249756
57,"(90, 30)",0.9454545454545454,0.07948410332487274,1.049945592880249
58,"(90, 40)",0.9636363636363636,0.04370365182380592,1.0603001117706299
59,"(90, 50)",0.9272727272727272,0.128564869306645,0.6499788761138916
60,"(90, 60)",0.9454545454545454,0.06239775843022423,1.5099210739135742
61,"(90, 70)",0.9454545454545454,0.06239775843022423,0.7676792144775391
62,"(90, 80)",0.9333333333333335,0.056853524361496106,0.9677681922912598
63,"(90, 90)",0.9151515151515153,0.07569694543513208,0.8249650001525879
