,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20, 20)",0.9090909090909091,0.09958591954639384,0.5781824588775635
1,"(20, 20, 40)",0.8969696969696969,0.09995407577254935,0.9753446578979492
2,"(20, 20, 60)",0.896969696969697,0.09995407577254936,0.5037119388580322
3,"(20, 20, 80)",0.9454545454545454,0.07948410332487271,0.6482231616973877
4,"(20, 30, 20)",0.9030303030303031,0.12181667419540472,0.7595655918121338
5,"(20, 30, 40)",0.8787878787878789,0.11999387801953534,0.8039529323577881
6,"(20, 30, 60)",0.896969696969697,0.13443074553223536,0.6134748458862305
7,"(20, 30, 80)",0.8848484848484849,0.12420546382981332,0.5566811561584473
8,"(20, 40, 20)",0.9393939393939394,0.0663906130309292,0.706383466720581
9,"(20, 40, 40)",0.9454545454545454,0.10567027741916783,0.3767986297607422
10,"(20, 40, 60)",0.9212121212121214,0.0934984764881304,0.530371904373169
11,"(20, 40, 80)",0.9212121212121211,0.12970263369110727,0.5326950550079346
12,"(20, 50, 20)",0.9151515151515152,0.11402962255895019,0.5517005920410156
13,"(20, 50, 40)",0.9272727272727274,0.10032088095301121,0.44837069511413574
14,"(20, 50, 60)",0.9151515151515152,0.10285189544531602,0.5154309272766113
15,"(20, 50, 80)",0.9454545454545454,0.07948410332487274,0.6896047592163086
16,"(20, 60, 20)",0.9454545454545454,0.06856793029687731,0.42375755310058594
17,"(20, 60, 40)",0.9272727272727274,0.10427060929748638,0.46906614303588867
18,"(20, 60, 60)",0.9030303030303031,0.13443074553223536,0.4870884418487549
19,"(20, 60, 80)",0.8848484848484849,0.133608531424537,0.6067869663238525
20,"(20, 70, 20)",0.9393939393939394,0.07761362712039814,0.48313093185424805
21,"(20, 70, 40)",0.9090909090909091,0.11814296175526016,0.47107982635498047
22,"(20, 70, 60)",0.9575757575757575,0.058759755847470646,0.536736011505127
23,"(20, 70, 80)",0.9333333333333335,0.10249414863810766,0.6245541572570801
24,"(20, 80, 20)",0.9393939393939394,0.05999693900976766,0.45327067375183105
25,"(20, 80, 40)",0.9454545454545454,0.09772433634301272,0.5228893756866455
26,"(20, 80, 60)",0.9454545454545454,0.08441447440717648,0.5656642913818359
27,"(20, 80, 80)",0.9333333333333335,0.09428090415820635,0.7885439395904541
28,"(20, 90, 20)",0.896969696969697,0.16663911618021235,0.7913095951080322
29,"(20, 90, 40)",0.9333333333333335,0.08528028654224418,0.5933816432952881
30,"(20, 90, 60)",0.9515151515151515,0.09466969304129279,0.5916750431060791
31,"(20, 90, 80)",0.9272727272727274,0.10032088095301121,0.8442904949188232
32,"(30, 20, 20)",0.9090909090909091,0.09111088714165397,0.554682731628418
33,"(30, 20, 40)",0.8848484848484849,0.10670798097975158,0.3667941093444824
34,"(30, 20, 60)",0.9151515151515152,0.10670798097975158,0.36179208755493164
35,"(30, 20, 80)",0.9212121212121214,0.09772433634301274,0.39890575408935547
36,"(30, 30, 20)",0.8848484848484849,0.12090871117127275,0.33982396125793457
37,"(30, 30, 40)",0.9090909090909093,0.09544251968499164,0.3981456756591797
38,"(30, 30, 60)",0.9151515151515153,0.102851895445316,0.4402439594268799
39,"(30, 30, 80)",0.9333333333333332,0.09847319278346618,0.4656684398651123
40,"(30, 40, 20)",0.896969696969697,0.13139080841623513,0.3451573848724365
41,"(30, 40, 40)",0.9515151515151515,0.08085857008561416,0.3858299255371094
42,"(30, 40, 60)",0.9030303030303031,0.10773568990685563,0.4463670253753662
43,"(30, 40, 80)",0.9151515151515152,0.09466969304129279,0.5207173824310303
44,"(30, 50, 20)",0.8848484848484848,0.13054944986992736,0.4267604351043701
45,"(30, 50, 40)",0.9090909090909091,0.11109274412014158,0.4499657154083252
46,"(30, 50, 60)",0.896969696969697,0.09995407577254933,0.4713633060455322
47,"(30, 50, 80)",0.896969696969697,0.09995407577254933,0.554682731628418
48,"(30, 60, 20)",0.9393939393939394,0.08265564664839913,0.4978756904602051
