,hidden_layer,Accuracy,Std,Time_train
0,"(20, 20)",0.9393939393939394,0.08265564664839914,0.421083927154541
1,"(20, 30)",0.9454545454545454,0.07422696190252052,0.23444533348083496
2,"(20, 40)",0.9333333333333335,0.11370704872299223,0.33008861541748047
3,"(20, 50)",0.9272727272727272,0.0919136417460794,0.2998988628387451
4,"(20, 60)",0.9151515151515153,0.11402962255895016,0.30169200897216797
5,"(20, 70)",0.9393939393939394,0.08265564664839914,0.33675122261047363
6,"(20, 80)",0.9393939393939394,0.07761362712039818,0.32100725173950195
7,"(20, 90)",0.9454545454545454,0.09772433634301272,0.6806349754333496
8,"(30, 20)",0.9818181818181819,0.04110503020075919,0.4327526092529297
9,"(30, 30)",0.9454545454545454,0.06239775843022423,0.6012156009674072
10,"(30, 40)",0.9636363636363636,0.05938156952201642,0.3250002861022949
11,"(30, 50)",0.9212121212121214,0.09349847648813038,0.33495092391967773
12,"(30, 60)",0.9515151515151515,0.08570991287109668,0.3085818290710449
13,"(30, 70)",0.9454545454545454,0.08441447440717648,0.33913636207580566
14,"(30, 80)",0.9212121212121214,0.07948410332487271,0.3874027729034424
15,"(30, 90)",0.9272727272727272,0.0919136417460794,0.42012953758239746
16,"(40, 20)",0.9393939393939394,0.08740730364761186,0.2499547004699707
17,"(40, 30)",0.9696969696969698,0.05938156952201642,0.33000755310058594
18,"(40, 40)",0.9636363636363637,0.04370365182380592,0.300079345703125
19,"(40, 50)",0.9393939393939394,0.07761362712039814,0.3803720474243164
20,"(40, 60)",0.9636363636363636,0.05938156952201642,0.3597531318664551
21,"(40, 70)",0.9636363636363636,0.05938156952201642,0.4673185348510742
22,"(40, 80)",0.9515151515151515,0.08085857008561415,0.4143555164337158
23,"(40, 90)",0.9515151515151515,0.07569694543513207,0.45401477813720703
24,"(50, 20)",0.9515151515151515,0.06413942572277793,0.3257319927215576
25,"(50, 30)",0.9393939393939394,0.08265564664839914,0.36931562423706055
26,"(50, 40)",0.9757575757575758,0.05142594772265799,0.36664891242980957
27,"(50, 50)",0.9696969696969698,0.05213530464874318,0.38988733291625977
28,"(50, 60)",0.9757575757575758,0.05142594772265799,0.42264819145202637
29,"(50, 70)",0.9636363636363637,0.05938156952201643,0.37991833686828613
30,"(50, 80)",0.9575757575757577,0.07119600075436805,0.40043210983276367
31,"(50, 90)",0.9696969696969698,0.05938156952201642,0.5252394676208496
32,"(60, 20)",0.9696969696969698,0.04370365182380592,0.33884191513061523
33,"(60, 30)",0.9515151515151515,0.057495957457606876,0.4408426284790039
34,"(60, 40)",0.9696969696969698,0.06583503328000129,0.4927182197570801
35,"(60, 50)",0.9696969696969698,0.04370365182380592,0.3969001770019531
36,"(60, 60)",0.9575757575757575,0.05142594772265799,0.43689870834350586
37,"(60, 70)",0.9515151515151515,0.07569694543513207,0.5588874816894531
38,"(60, 80)",0.9393939393939394,0.0919136417460794,0.5296800136566162
39,"(60, 90)",0.9393939393939394,0.05999693900976766,0.44747066497802734
40,"(70, 20)",0.9454545454545454,0.06856793029687731,0.35925722122192383
41,"(70, 30)",0.9515151515151515,0.09884549351697025,0.359771728515625
42,"(70, 40)",0.9696969696969698,0.04370365182380592,0.3960230350494385
43,"(70, 50)",0.9393939393939394,0.0919136417460794,0.4677121639251709
44,"(70, 60)",0.9757575757575758,0.03206971286138897,0.4669520854949951
45,"(70, 70)",0.9454545454545454,0.07422696190252052,0.532059907913208
46,"(70, 80)",0.9454545454545454,0.06856793029687731,0.5582942962646484
47,"(70, 90)",0.9696969696969698,0.04370365182380592,0.5021038055419922
48,"(80, 20)",0.9454545454545454,0.07948410332487271,0.3401768207550049
49,"(80, 30)",0.9757575757575758,0.058759755847470646,0.4299042224884033
50,"(80, 40)",0.9636363636363636,0.06583503328000129,0.3898286819458008
51,"(80, 50)",0.9393939393939394,0.0663906130309292,0.44293713569641113
52,"(80, 60)",0.9757575757575758,0.07666127661014253,0.5542948246002197
53,"(80, 70)",0.9515151515151515,0.09030099651970509,0.7311172485351562
54,"(80, 80)",0.9515151515151515,0.07569694543513207,0.5618250370025635
55,"(80, 90)",0.9696969696969696,0.06583503328000129,0.5901248455047607
56,"(90, 20)",0.9636363636363637,0.05938156952201643,0.5875697135925293
57,"(90, 30)",0.9515151515151515,0.06413942572277793,0.4125545024871826
58,"(90, 40)",0.9575757575757575,0.06527472493496368,0.5405230522155762
59,"(90, 50)",0.9575757575757575,0.07119600075436805,0.4517393112182617
60,"(90, 60)",0.9575757575757575,0.06527472493496368,0.5634281635284424
61,"(90, 70)",0.9515151515151515,0.06413942572277793,0.5461766719818115
62,"(90, 80)",0.9515151515151515,0.05749595745760688,0.636634349822998
63,"(90, 90)",0.9575757575757575,0.05142594772265799,0.581186056137085
