,C,Gamma,Degree,Accuracy,Std
0,1e-10,1.0,2.0,0.30909090909090914,0.1484539238050411
1,1e-10,1.0,3.0,0.09696969696969697,0.043703651823805936
2,1e-10,1.0,4.0,0.07272727272727272,0.019165319152535634
3,1e-10,1.0,5.0,0.06666666666666667,0.0
4,1e-10,1.0,6.0,0.0787878787878788,0.025712973861329
5,1e-10,0.0774263682681127,2.0,0.30909090909090914,0.1484539238050411
6,1e-10,0.0774263682681127,3.0,0.09696969696969697,0.043703651823805936
7,1e-10,0.0774263682681127,4.0,0.07272727272727272,0.019165319152535634
8,1e-10,0.0774263682681127,5.0,0.06666666666666667,0.0
9,1e-10,0.0774263682681127,6.0,0.06666666666666667,0.0
10,1e-10,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
11,1e-10,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
12,1e-10,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
13,1e-10,0.005994842503189409,5.0,0.06666666666666667,0.0
14,1e-10,0.005994842503189409,6.0,0.06666666666666667,0.0
15,1e-10,0.00046415888336127773,2.0,0.3151515151515152,0.13952562949359196
16,1e-10,0.00046415888336127773,3.0,0.10909090909090909,0.04285495643554833
17,1e-10,0.00046415888336127773,4.0,0.15757575757575756,0.04285495643554833
18,1e-10,0.00046415888336127773,5.0,0.9575757575757577,0.042854956435548326
19,1e-10,0.00046415888336127773,6.0,0.890909090909091,0.12151477367129347
20,1e-10,3.5938136638046256e-05,2.0,0.4,0.17291324385075277
21,1e-10,3.5938136638046256e-05,3.0,0.9818181818181819,0.029690784761008216
22,1e-10,3.5938136638046256e-05,4.0,0.9090909090909091,0.09958591954639384
23,1e-10,3.5938136638046256e-05,5.0,0.9575757575757577,0.042854956435548326
24,1e-10,3.5938136638046256e-05,6.0,0.890909090909091,0.12151477367129347
25,1e-10,2.782559402207126e-06,2.0,0.9333333333333335,0.0984731927834662
26,1e-10,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216
27,1e-10,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
28,1e-10,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
29,1e-10,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
30,1e-10,2.1544346900318822e-07,2.0,0.9333333333333335,0.0984731927834662
31,1e-10,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
32,1e-10,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
33,1e-10,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
34,1e-10,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
35,1e-10,1.6681005372000556e-08,2.0,0.9333333333333335,0.0984731927834662
36,1e-10,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
37,1e-10,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
38,1e-10,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
39,1e-10,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
40,1e-10,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
41,1e-10,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
42,1e-10,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
43,1e-10,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
44,1e-10,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
45,1e-10,1e-10,2.0,0.9333333333333335,0.0984731927834662
46,1e-10,1e-10,3.0,0.9818181818181819,0.029690784761008216
47,1e-10,1e-10,4.0,0.9090909090909091,0.09958591954639384
48,1e-10,1e-10,5.0,0.9575757575757577,0.042854956435548326
49,1e-10,1e-10,6.0,0.890909090909091,0.12151477367129347
50,1.6681005372000592e-08,1.0,2.0,0.30909090909090914,0.1484539238050411
51,1.6681005372000592e-08,1.0,3.0,0.09696969696969697,0.043703651823805936
52,1.6681005372000592e-08,1.0,4.0,0.07272727272727272,0.019165319152535634
53,1.6681005372000592e-08,1.0,5.0,0.2545454545454546,0.19030689052251615
